product_id,product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm
RO8Eso0VLlkB,bed_bath_table,550.0,18.0,10.0,18.0
PNxV7rsy2fgg,toys,150.0,16.0,5.0,20.0
XtWT6gLIlj7Q,toys,10700.0,40.0,40.0,40.0
YWxNxMu4wOKG,toys,1050.0,36.0,24.0,22.0
u7VrCV0J3rFD,toys,700.0,45.0,8.0,25.0
i8rOWNVCU8SG,toys,200.0,17.0,11.0,15.0
KnGbtqqEcmat,toys,300.0,40.0,10.0,25.0
Vb1H62ttvRIQ,toys,5400.0,32.0,25.0,14.0
5OJOlHuoPBnC,toys,1000.0,70.0,10.0,15.0
vkx2x9k5aIEp,toys,6350.0,38.0,30.0,28.0
Mc3HVfMW32MH,toys,214.0,18.0,15.0,15.0
kYkawOSYkfjo,watches_gifts,375.0,21.0,15.0,16.0
IygrTULmkPjL,toys,350.0,21.0,12.0,14.0
m2BXGAfmaOtK,toys,450.0,20.0,10.0,15.0
ocSuycYd5FzD,sports_leisure,250.0,16.0,6.0,20.0
4lnnpEh9Lojy,toys,1275.0,27.0,26.0,27.0
1Shu25hw8jmU,sports_leisure,150.0,16.0,16.0,11.0
qtlBf0tnYibE,toys,240.0,16.0,2.0,11.0
Sd2c5zg8xeYS,toys,300.0,20.0,6.0,26.0
TznsJjXJH6cK,toys,1700.0,25.0,25.0,25.0
U12L66pFn1Cd,toys,1050.0,38.0,10.0,38.0
Y3eayqO8aOXQ,toys,850.0,38.0,10.0,38.0
xczz8pBAGbiX,sports_leisure,300.0,19.0,2.0,12.0
yNiC4LvaTd1R,toys,153.0,14.0,14.0,12.0
sDiRdnCZMwRY,toys,550.0,27.0,10.0,15.0
nPKBktJfW1Fl,toys,150.0,16.0,2.0,11.0
PwoiOjyJfSJK,bed_bath_table,400.0,20.0,2.0,15.0
EsjZXaqqL5SG,toys,500.0,19.0,11.0,20.0
pIsDRb4xbzyD,watches_gifts,350.0,16.0,14.0,11.0
i10BtlKMkpvy,toys,442.0,20.0,19.0,17.0
JWWerUz4sUOi,toys,450.0,16.0,21.0,20.0
8IhgV2nH9kXE,health_beauty,700.0,25.0,12.0,19.0
RIeB1nlwkWYV,toys,400.0,29.0,36.0,15.0
S5shnnygPs0S,bed_bath_table,400.0,20.0,20.0,20.0
MnU1humwDAEV,toys,2450.0,41.0,8.0,36.0
ij9mTh09IZhj,toys,2100.0,35.0,9.0,25.0
IxSYqX7LMxEm,toys,4850.0,61.0,15.0,58.0
B8QmdTHBBm2r,toys,600.0,16.0,14.0,14.0
JXxZvMEQwVdy,toys,50.0,17.0,3.0,12.0
pZaSE0Kq83mh,toys,533.0,52.0,6.0,40.0
oUaq0Emczjrp,toys,175.0,23.0,21.0,21.0
ilTOySUJeryQ,toys,2700.0,60.0,15.0,15.0
cPxHctjb1mwb,toys,150.0,22.0,3.0,15.0
VyvqSoUrvQ46,toys,363.0,18.0,13.0,13.0
MaltNz8KU4y1,bed_bath_table,2650.0,46.0,8.0,38.0
jkF9uiOYSJQv,toys,650.0,28.0,9.0,14.0
plejCSAfHfj4,toys,1100.0,20.0,20.0,20.0
4tXRIqqJAw5t,cool_stuff,1650.0,33.0,44.0,19.0
ILJ1czl5oREZ,toys,1092.0,27.0,27.0,23.0
fdKNYBPuPnsg,toys,250.0,22.0,5.0,15.0
p8szMBFqPyIE,housewares,700.0,30.0,30.0,30.0
0Rv9bIApkexA,toys,2050.0,90.0,8.0,15.0
bpqNyuI195P5,toys,100.0,21.0,9.0,13.0
9d6vkyKPUKTm,toys,10600.0,78.0,4.0,47.0
lk149m5QGyX9,health_beauty,1600.0,50.0,16.0,40.0
BGJSKvvLAPkO,toys,325.0,21.0,8.0,17.0
qlb3txU8IQ7W,toys,775.0,34.0,9.0,33.0
9RgMq5eVloUQ,toys,1200.0,42.0,25.0,15.0
1gi8qMFFJtiv,watches_gifts,233.0,17.0,11.0,15.0
wdV7yJzaz3Su,toys,4338.0,17.0,12.0,14.0
V538EPE0kKPC,stationery,1500.0,60.0,20.0,29.0
xd1uzxed845G,toys,9200.0,53.0,52.0,17.0
vMNkrbsMMk0s,toys,300.0,16.0,9.0,11.0
cRgyR7JbPIOp,perfumery,100.0,20.0,15.0,15.0
Ycoiqp2LnndQ,toys,250.0,16.0,11.0,11.0
Gvk6GWtgVh4r,toys,887.0,30.0,22.0,20.0
T4RytrhXe0AL,toys,2600.0,36.0,13.0,36.0
24AgwBMFEDBG,toys,480.0,18.0,11.0,14.0
3FAOpWw8lQRG,sports_leisure,400.0,70.0,10.0,20.0
FNKIqU40hVPa,sports_leisure,900.0,50.0,6.0,20.0
GEteoECKnq9S,toys,575.0,26.0,20.0,32.0
6cDVtksZH7KU,,200.0,16.0,2.0,11.0
ffBrVvV1xRMY,housewares,6100.0,20.0,30.0,15.0
QfIlk7LWi2Lx,toys,7800.0,18.0,18.0,18.0
IzIflSQvLmzI,toys,900.0,32.0,17.0,25.0
Gb2HIDesY0ab,toys,825.0,60.0,8.0,33.0
iLdb3g2peSd6,toys,400.0,30.0,15.0,15.0
ssZQDTdv1ISb,toys,400.0,34.0,4.0,22.0
1Shu25hw8jmU,sports_leisure,150.0,16.0,16.0,11.0
Clpt9JGtOL7P,toys,975.0,37.0,31.0,17.0
w47Os1mXLhR7,toys,1200.0,28.0,5.0,18.0
bIEg5jBI5qCt,office_furniture,16133.0,63.0,59.0,25.0
LqNug3U6tUf0,toys,1310.0,60.0,12.0,24.0
AwMrMN70PjWi,toys,1900.0,105.0,15.0,15.0
EJC58vmKh0JZ,toys,1100.0,30.0,20.0,20.0
NDXr9BpDHzF7,office_furniture,11880.0,50.0,60.0,27.0
SESkOgF0nWnh,cool_stuff,1600.0,42.0,25.0,15.0
uYZs9sSZLjJQ,toys,200.0,16.0,2.0,11.0
RZW9SelPr7Vv,toys,200.0,20.0,10.0,15.0
cBzyfbJ9o2Ly,housewares,800.0,16.0,11.0,18.0
MXIDpBL8zOVA,toys,1350.0,27.0,9.0,18.0
V2XI2qJlQyVA,industry_commerce_and_business,7225.0,16.0,103.0,25.0
Y3eayqO8aOXQ,toys,850.0,38.0,10.0,38.0
Qf3jXDCJPvkJ,toys,350.0,19.0,12.0,13.0
04VarFqFDG4N,market_place,250.0,18.0,8.0,18.0
xhOdqDhuh9C3,baby,300.0,42.0,25.0,15.0
GVFABs8jv3Op,toys,3700.0,20.0,38.0,58.0
eusdPgZ9vfNN,toys,150.0,16.0,5.0,20.0
C5mBfEmBowsz,toys,1250.0,26.0,20.0,15.0
KWxRrLF3hWjp,toys,350.0,19.0,11.0,15.0
p189n8MsUQag,office_furniture,16800.0,63.0,58.0,24.0
xUOtXet8knB9,toys,300.0,20.0,12.0,25.0
swA5UXSnK1rs,toys,617.0,26.0,14.0,18.0
tM47X5ddUK0O,toys,150.0,24.0,4.0,14.0
UGODVHG54iV2,toys,1100.0,22.0,27.0,22.0
jsE2P6T5PdVN,drinks,325.0,17.0,14.0,14.0
SrfaFCawoWPe,toys,4550.0,30.0,10.0,17.0
Qf3jXDCJPvkJ,toys,350.0,19.0,12.0,13.0
c6DXFRSnX6ho,toys,750.0,35.0,20.0,20.0
t04zRrtBcmWM,office_furniture,13475.0,53.0,65.0,32.0
JILBeNEN25Sg,sports_leisure,3675.0,38.0,29.0,28.0
B6iPUeo0Hmep,toys,300.0,40.0,10.0,25.0
efmiIxk5GW9E,toys,1550.0,38.0,10.0,38.0
vaQjTEBWaASb,toys,150.0,21.0,9.0,14.0
UDxk0BKLGdWP,toys,150.0,16.0,6.0,11.0
KKOfV8j7dYHx,toys,617.0,17.0,14.0,15.0
gZdw4XlyMmXn,toys,333.0,17.0,16.0,16.0
8czc6uIc81lJ,toys,200.0,18.0,7.0,12.0
tIPO7bHrwS7c,toys,1850.0,34.0,5.0,34.0
aQSj5wMRLJyB,sports_leisure,3650.0,60.0,15.0,15.0
T0Agezy7GbkA,toys,1050.0,35.0,18.0,35.0
GqH7DZZi37vM,toys,250.0,16.0,16.0,16.0
fcdGCqtOAdKv,housewares,727.0,21.0,19.0,22.0
C4MNIZebz8wg,toys,1582.0,31.0,31.0,35.0
dAjuzl4lEzYf,housewares,550.0,16.0,12.0,15.0
2KLdCRC3moTd,toys,1800.0,38.0,10.0,38.0
yTmuTsD3E8nb,toys,100.0,17.0,5.0,19.0
uhvQEAoGtiSX,toys,350.0,23.0,7.0,15.0
L5R4lad8hEHC,toys,1200.0,19.0,19.0,16.0
pSVuuWCLxyvY,toys,150.0,20.0,10.0,15.0
YABc5Ij49wi1,toys,900.0,30.0,4.0,20.0
YWxNxMu4wOKG,toys,1050.0,36.0,24.0,22.0
DQeMbUZYQfYz,toys,1300.0,30.0,30.0,35.0
FJPMZFdKAowc,toys,1050.0,42.0,25.0,15.0
ljxT8gh1Xcw4,toys,10075.0,55.0,64.0,26.0
opWoTU2BWbGr,toys,7800.0,16.0,105.0,30.0
1JgqZUMnHeh7,toys,600.0,16.0,2.0,11.0
gUsB6MIYvqzB,toys,213.0,14.0,9.0,13.0
VFKqopsYepY6,toys,150.0,35.0,2.0,26.0
Pb29t2XBfP6Q,furniture_decor,700.0,35.0,4.0,30.0
KNzyyeCfT6Jw,toys,7150.0,47.0,26.0,35.0
TQgUjDPUjd95,toys,1075.0,39.0,6.0,26.0
tQSTooJNc6vp,toys,400.0,30.0,10.0,30.0
mckjIgHnht9R,toys,350.0,19.0,12.0,13.0
zc3Kr0vGb4YN,toys,1100.0,41.0,9.0,31.0
P3UmRv6uzzeh,toys,350.0,54.0,27.0,39.0
ciyz5BBBbTP3,toys,100.0,16.0,4.0,16.0
JSf9OtrZlVSW,health_beauty,1200.0,21.0,13.0,19.0
kpaWBO7LJ3AD,toys,560.0,19.0,13.0,17.0
gmnJta6APaNa,sports_leisure,275.0,24.0,8.0,12.0
svk4TIQoScnN,health_beauty,527.0,18.0,16.0,13.0
tJSjR1AbQ1F4,toys,400.0,16.0,16.0,16.0
aGfDroEvoLRJ,toys,200.0,16.0,14.0,12.0
oUaq0Emczjrp,toys,175.0,23.0,21.0,21.0
tHPavTpCiXx0,health_beauty,200.0,16.0,4.0,16.0
r8X9WIzMDtnH,toys,550.0,20.0,20.0,20.0
FdBtdonyg5Cn,housewares,550.0,16.0,12.0,12.0
KUgYDEzRRFSD,toys,350.0,20.0,10.0,15.0
301f8N0vMU8O,cool_stuff,2035.0,27.0,13.0,15.0
uqqbrPEb2Kvn,toys,431.0,20.0,11.0,13.0
2ctsTd26h9QP,toys,650.0,26.0,17.0,21.0
z9r4yfctEfv9,toys,3250.0,36.0,10.0,35.0
bfkYf8WcDtMl,toys,250.0,16.0,5.0,15.0
s17aXKu4zvfw,toys,683.0,35.0,14.0,21.0
gF7KtOA3gNjy,health_beauty,1925.0,37.0,6.0,37.0
E9OiMOkPkNam,toys,335.0,17.0,11.0,16.0
fv7KNAysdXlN,toys,260.0,21.0,16.0,20.0
g7HXr6G8lJw7,toys,600.0,20.0,20.0,20.0
x2473gHktSB1,toys,900.0,25.0,12.0,38.0
43tazj2WmezZ,toys,500.0,18.0,6.0,21.0
Nfe3KW9D3aB1,toys,14950.0,77.0,20.0,53.0
bfkYf8WcDtMl,toys,250.0,16.0,5.0,15.0
zbOpRaWbl8I1,toys,575.0,30.0,11.0,17.0
ZEye6yzDOiiE,toys,1400.0,20.0,20.0,20.0
7B6K1gvFb5NH,sports_leisure,7400.0,49.0,22.0,41.0
tfgKHMdnTKpJ,toys,425.0,17.0,11.0,14.0
XFaEaka76f9Y,toys,400.0,21.0,16.0,16.0
yjbebnmOeMDy,toys,4100.0,16.0,10.0,16.0
HTAJlgRwPpZ4,toys,1500.0,37.0,23.0,35.0
Lx7Zbroav4Gt,toys,150.0,18.0,9.0,11.0
hRa5Mdi2W3gL,toys,163.0,33.0,4.0,20.0
DsP0QUh8tgta,toys,100.0,20.0,20.0,20.0
SAXV2EDo6g4s,toys,1250.0,39.0,15.0,23.0
zVkMIgraNdQJ,toys,1100.0,37.0,12.0,22.0
qFEBJoYnKG2G,health_beauty,500.0,19.0,17.0,15.0
7B9HZ3MMsEoK,toys,150.0,24.0,17.0,17.0
uPT5JSckT4wc,perfumery,350.0,20.0,10.0,18.0
1MAKkRLc16A5,toys,650.0,20.0,20.0,20.0
pIIdjguylTGV,toys,475.0,19.0,15.0,15.0
GkY4iC34yfZR,toys,200.0,16.0,16.0,16.0
FdDaM8lO9vdI,toys,3400.0,79.0,11.0,55.0
fX5cWtC14BWH,toys,23500.0,66.0,43.0,66.0
oLVBoWOotxcJ,toys,200.0,16.0,11.0,11.0
ojKOZNiAjf83,toys,353.0,23.0,15.0,16.0
8LQ1KNC1uffD,toys,200.0,16.0,5.0,20.0
nAcaJdCos78a,toys,350.0,18.0,13.0,13.0
jowpxEhRo2Cp,baby,213.0,17.0,8.0,12.0
xArM6NlDrEZS,toys,500.0,16.0,16.0,11.0
ymKDicNbeRGT,toys,525.0,16.0,17.0,12.0
VM4OmZOaHp63,watches_gifts,576.0,20.0,13.0,17.0
CetSPeqb3tc4,toys,5700.0,60.0,20.0,29.0
hn7szEJHw5LE,toys,792.0,19.0,14.0,16.0
rIwCsLZ2dFTY,fashion_bags_accessories,100.0,17.0,3.0,12.0
GmgXGONutNxg,baby,6600.0,45.0,25.0,35.0
rZ5pT7KeDGN2,toys,710.0,19.0,13.0,14.0
xDmT0BaSQrnp,toys,800.0,30.0,12.0,30.0
ymZvN9XtTHxn,toys,1110.0,19.0,11.0,18.0
m04GA9uIJaR4,toys,867.0,17.0,27.0,16.0
6y4Svg7F46Ll,toys,500.0,47.0,10.0,36.0
fktVsMNpQcuY,toys,563.0,20.0,12.0,14.0
6Ww1i7qd1Zqu,cool_stuff,1200.0,42.0,25.0,15.0
bIEg5jBI5qCt,office_furniture,16133.0,63.0,59.0,25.0
l4Ak1k8MYyLW,toys,262.0,17.0,12.0,14.0
DL5BHCpE7rrL,bed_bath_table,835.0,40.0,9.0,33.0
kWY5PZuP3mMX,toys,2200.0,21.0,27.0,20.0
0IjTTPekYrA6,toys,23250.0,23.0,50.0,84.0
uLzBIKqrgfXM,health_beauty,1029.0,20.0,15.0,17.0
MXfRU6BvSbFp,cool_stuff,15350.0,47.0,40.0,47.0
1lWjTiLpL5sL,housewares,445.0,23.0,12.0,14.0
pK3RXgL02EpR,toys,400.0,28.0,10.0,13.0
z3QThifm2Ex8,toys,1000.0,35.0,9.0,25.0
IREhNF64vxMV,bed_bath_table,4900.0,42.0,12.0,42.0
nHVfUq8Xfzwq,toys,400.0,16.0,2.0,11.0
MHzzkDPSSXkY,toys,800.0,25.0,12.0,20.0
5ArAXFfZIzdV,toys,275.0,21.0,7.0,18.0
QRRDhAddJGXo,toys,350.0,35.0,3.0,12.0
LI7HK6BJBBPy,watches_gifts,200.0,20.0,8.0,11.0
1edaUIVffPFF,watches_gifts,584.0,16.0,11.0,13.0
202tnP7Gp77m,toys,2700.0,30.0,11.0,20.0
v5SnKR6BzXcc,toys,800.0,20.0,40.0,20.0
1LlAoE7WwDpb,toys,800.0,18.0,22.0,18.0
9o5aGPLpSZGU,office_furniture,9725.0,53.0,52.0,17.0
p9XNVNxNsSHj,toys,1200.0,35.0,9.0,25.0
ipPRqbM59Nsv,toys,575.0,16.0,22.0,16.0
Pb29t2XBfP6Q,furniture_decor,700.0,35.0,4.0,30.0
EbXvBHpCdrqk,toys,7750.0,28.0,55.0,37.0
6gAgSBS9Ghbl,toys,500.0,16.0,20.0,16.0
zJ3QmOOSjuNf,toys,2750.0,30.0,20.0,30.0
jjuUt1Fp9kX7,baby,10750.0,38.0,47.0,44.0
VUFL8lkuO8nH,toys,553.0,20.0,13.0,18.0
hZXWmyaDMnJ3,sports_leisure,1950.0,60.0,15.0,15.0
on5EC0NJ0gdV,watches_gifts,500.0,16.0,13.0,13.0
k70YhkRSxJzl,toys,200.0,16.0,9.0,16.0
qITImoaYqnMp,toys,1300.0,27.0,9.0,18.0
hm0kG6bz215p,toys,500.0,19.0,7.0,11.0
ev5SGnFOKVhR,toys,157.0,17.0,8.0,13.0
BRnI5QOLxvL8,toys,1150.0,30.0,12.0,16.0
9eFAE4sttedB,toys,600.0,22.0,33.0,16.0
oUaq0Emczjrp,toys,175.0,23.0,21.0,21.0
9o5aGPLpSZGU,office_furniture,9725.0,53.0,52.0,17.0
mmfGLAtvxdMx,toys,2600.0,23.0,23.0,23.0
7AdHMcUA45kV,toys,150.0,43.0,13.0,14.0
Rm3ylmTfDnzn,sports_leisure,300.0,30.0,5.0,20.0
CvtNxyTPsz7k,health_beauty,555.0,30.0,12.0,16.0
VcRU5d314wk8,toys,16550.0,22.0,65.0,40.0
H7nWKs2g42fu,toys,250.0,24.0,7.0,14.0
DWKmdd2Cc8jD,toys,150.0,18.0,8.0,13.0
FJecCwN2k2r3,toys,200.0,22.0,7.0,14.0
DErPo7OZsYSo,watches_gifts,750.0,48.0,16.0,25.0
3jddxWJlivPA,toys,1500.0,36.0,6.0,26.0
fwxl78QhkWoi,toys,433.0,21.0,12.0,16.0
pwwepzLkrMOF,toys,250.0,19.0,9.0,27.0
ICg52p0fIcjz,sports_leisure,250.0,16.0,15.0,16.0
vGXXRal5HLec,toys,300.0,22.0,14.0,18.0
rkFp7albv3Hz,sports_leisure,1650.0,40.0,45.0,25.0
Gvk6GWtgVh4r,toys,887.0,30.0,22.0,20.0
OBIvlk9Z3nDK,toys,1450.0,90.0,6.0,18.0
BexYLpCx6BwK,toys,532.0,19.0,17.0,17.0
XaZhwWmDvmVY,toys,9000.0,70.0,25.0,55.0
7SbxZe82YD4g,toys,427.0,15.0,17.0,14.0
srvU0XsdWXs7,toys,7700.0,28.0,55.0,37.0
B2HyTOAfXCFl,sports_leisure,867.0,26.0,15.0,18.0
kml9id6j1D7J,toys,513.0,24.0,13.0,17.0
q8vfvTf5F2XO,toys,500.0,16.0,2.0,11.0
AOze5T4Uex3f,toys,550.0,23.0,8.0,13.0
kuUbPNBMgk7o,toys,2150.0,30.0,19.0,25.0
G4640SQ4F6gN,toys,459.0,18.0,13.0,14.0
GLkO1SLgrt4F,perfumery,350.0,22.0,5.0,14.0
oUaq0Emczjrp,toys,175.0,23.0,21.0,21.0
vMNkrbsMMk0s,toys,300.0,16.0,9.0,11.0
EYEzM1t9LJ3A,toys,1600.0,30.0,30.0,35.0
ixKNEjGAj4eD,toys,350.0,16.0,5.0,15.0
VgQLgvRS8cD3,toys,4450.0,28.0,14.0,28.0
4PdIfWqprn5V,toys,700.0,23.0,15.0,19.0
Bp2UR8L9Q9VG,toys,1375.0,30.0,6.0,22.0
1lGxeFOwsmvu,toys,200.0,22.0,3.0,15.0
HPSwzbOuoPU4,toys,11113.0,58.0,55.0,24.0
ssZQDTdv1ISb,toys,400.0,34.0,4.0,22.0
Gx9BskaoR7Lk,watches_gifts,500.0,23.0,15.0,19.0
2vFEY0c4ZIPU,toys,325.0,21.0,14.0,15.0
9uXsrini520L,toys,100.0,18.0,12.0,15.0
6FucextzO1X8,toys,700.0,25.0,2.0,17.0
d0BKmuUhXBys,sports_leisure,250.0,30.0,16.0,16.0
DxsP45oneomH,toys,1800.0,34.0,7.0,32.0
8OInt3C4fUKN,toys,583.0,20.0,21.0,20.0
nXNEX5GWTnau,toys,6850.0,48.0,25.0,34.0
Y3eayqO8aOXQ,toys,850.0,38.0,10.0,38.0
9QaxtwxbrDKi,health_beauty,5575.0,28.0,23.0,28.0
ixW3eSzsap1f,perfumery,480.0,23.0,14.0,17.0
AXZzUcbetdav,toys,2000.0,30.0,12.0,16.0
pa7OH8qw0fhq,toys,450.0,22.0,12.0,22.0
Xa7nw4Iih1NB,market_place,1750.0,32.0,10.0,40.0
SitPMWGsmpa4,toys,450.0,20.0,20.0,20.0
FZKmRAY3nmo9,toys,117.0,16.0,14.0,16.0
1edaUIVffPFF,watches_gifts,584.0,16.0,11.0,13.0
EAo7LclfBJXL,toys,750.0,25.0,5.0,17.0
a99EnRA5cSEj,signaling_and_security,300.0,20.0,11.0,15.0
LZuA6Wfv8WN5,toys,200.0,22.0,3.0,15.0
HcvOassQq76f,toys,292.0,18.0,10.0,15.0
6TfaB3ltccuC,toys,1400.0,22.0,12.0,33.0
PNxV7rsy2fgg,toys,150.0,16.0,5.0,20.0
XheSaMuTQHHs,toys,250.0,20.0,10.0,15.0
mHI4NBBHLa3q,toys,150.0,16.0,9.0,11.0
poyljoTAnq9L,toys,900.0,44.0,2.0,36.0
HFZt5QyhPlus,sports_leisure,150.0,45.0,10.0,11.0
97I7i6BQRjqd,toys,200.0,28.0,10.0,13.0
jJ2JxBvnEtug,toys,625.0,35.0,21.0,21.0
23A7htX4Zj8y,toys,600.0,30.0,3.0,20.0
oQxELBYhAfJX,toys,150.0,16.0,9.0,11.0
AWbDsFpeqBPN,toys,7075.0,56.0,11.0,32.0
24CCyfxQA7J9,toys,16150.0,81.0,7.0,80.0
GmgXGONutNxg,baby,6600.0,45.0,25.0,35.0
bVl5Sr647WGg,perfumery,333.0,20.0,13.0,14.0
yifYVWda6kIz,toys,147.0,14.0,10.0,12.0
m4yX2xoQqKHN,toys,1850.0,23.0,2.0,26.0
Y6fOUhiWUCqJ,sports_leisure,150.0,20.0,10.0,20.0
TKMI1HuvODav,home_appliances_2,425.0,32.0,10.0,16.0
8rQj2R4Ur9rZ,toys,3400.0,33.0,25.0,28.0
oYolpgMpzj1X,toys,200.0,18.0,9.0,14.0
hYdm4V4AFQrf,toys,640.0,23.0,24.0,39.0
qvGya8UG5V4s,toys,2438.0,28.0,31.0,24.0
YVeao2Zs1vL5,toys,449.0,19.0,14.0,14.0
GBV0B25C6HxF,toys,11325.0,18.0,105.0,30.0
mCDJ1miTla4u,toys,350.0,16.0,12.0,14.0
s4xdWEWcLuKb,health_beauty,250.0,19.0,11.0,23.0
57pDuiXBtqZD,toys,100.0,24.0,7.0,14.0
vpc5c9cPZtpQ,toys,250.0,16.0,6.0,13.0
uWFY9xqk58wF,toys,800.0,35.0,7.0,28.0
GomKK0chSSMQ,toys,1500.0,21.0,16.0,31.0
J26CMGZY7GMn,toys,1625.0,29.0,21.0,21.0
FYwSFXcDOKLA,toys,750.0,16.0,12.0,15.0
w5mMIm9sTgV4,toys,6133.0,44.0,35.0,48.0
lQG4ahKZk6Wi,toys,1450.0,25.0,29.0,15.0
fEDo8oxXJdK3,toys,250.0,16.0,15.0,15.0
cz1eSCYHj7tW,toys,525.0,60.0,8.0,33.0
xKqa0ATTIRu0,toys,645.0,19.0,16.0,18.0
RQTf2lb1Sr1U,toys,125.0,13.0,7.0,9.0
J26CMGZY7GMn,toys,1625.0,29.0,21.0,21.0
ymZvN9XtTHxn,toys,1110.0,19.0,11.0,18.0
Th6SHMsyTOMH,toys,430.0,21.0,11.0,17.0
13H9NTB4GXeM,sports_leisure,750.0,25.0,7.0,25.0
6Ww1i7qd1Zqu,cool_stuff,1200.0,42.0,25.0,15.0
SvW8FcwBD7tX,toys,6663.0,17.0,11.0,13.0
8AJNdND13F6p,housewares,3300.0,40.0,30.0,30.0
xP3x8JTF2Kzs,baby,350.0,42.0,27.0,42.0
SraUgeNmCXPy,toys,225.0,18.0,9.0,12.0
KucB4NAECE63,toys,400.0,20.0,12.0,12.0
PpHxuOV3R15h,toys,525.0,18.0,8.0,14.0
GgvZ7UcT5mUw,sports_leisure,1600.0,100.0,7.0,11.0
fxaWSJa8pHY1,toys,525.0,21.0,18.0,16.0
u7IyCEQqLEwf,toys,8000.0,55.0,25.0,45.0
srvU0XsdWXs7,toys,7700.0,28.0,55.0,37.0
0I5rLRey7EWZ,perfumery,100.0,20.0,20.0,30.0
fjLoKnnUvBjU,watches_gifts,267.0,17.0,11.0,13.0
kYkA7a8DF72i,sports_leisure,8809.0,52.0,52.0,17.0
oIRD3dPSlCQE,toys,2700.0,35.0,9.0,34.0
sDiRdnCZMwRY,toys,550.0,27.0,10.0,15.0
iX1xlNxQE68I,toys,1550.0,34.0,7.0,32.0
x8qn8ibnsUcN,toys,500.0,46.0,8.0,44.0
2ptD26XGV84t,health_beauty,2175.0,36.0,11.0,19.0
uV29OuPcE380,toys,1743.0,29.0,26.0,24.0
QswxUPYwgvyE,toys,1500.0,34.0,7.0,32.0
EOMmoU9dzefx,toys,425.0,22.0,14.0,21.0
BLPv8inNEiHl,toys,200.0,16.0,16.0,11.0
lFGT2p3CDtxY,toys,200.0,22.0,3.0,15.0
YD2ltug6xC68,sports_leisure,225.0,18.0,15.0,16.0
obtADceOw5G7,toys,1600.0,40.0,15.0,35.0
7qQDxDqEqDhv,bed_bath_table,2000.0,34.0,9.0,33.0
AHl7I7NxJYAq,toys,3000.0,29.0,40.0,29.0
z6l39cONkTxR,toys,1400.0,32.0,7.0,32.0
SF67frvOu4QI,toys,500.0,25.0,25.0,25.0
3n7TfF0E1SNc,toys,1875.0,43.0,45.0,40.0
y1xCvtRtdO1G,toys,1650.0,26.0,18.0,11.0
hvRdBQOZPubW,toys,4000.0,26.0,26.0,26.0
ouoTDyMDJXoj,toys,230.0,19.0,10.0,15.0
PftOihay1awe,toys,567.0,19.0,11.0,15.0
eTlPil30tvIn,toys,5950.0,20.0,30.0,80.0
gCcVSdlEOuof,toys,17550.0,73.0,20.0,47.0
LjzRT54degE3,toys,500.0,30.0,6.0,23.0
