order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_timestamp,order_estimated_delivery_date
HNXQI2lmI4AR,ukZ709Rl8bdF,delivered,2017-09-05 14:56:58,2017-09-07 02:44:07,2017-09-14 20:05:01,2017-09-18
QOaNjVewOOTX,sk3z82bQhZAO,delivered,2018-05-07 15:39:24,2018-05-07 17:30:00,2018-05-29 14:28:53,2018-05-30
O5bLel2qV1yT,SNzA2roBQaGK,delivered,2018-08-01 13:21:58,2018-08-01 13:35:09,2018-08-15 20:31:53,2018-08-09
NnoGZNF5rNkD,YanexVtkhb2B,delivered,2017-11-17 19:41:48,2017-11-18 02:35:30,2017-12-02 18:38:16,2017-12-05
EfyYNfniuxQP,7mxdMPX1ERJj,delivered,2017-09-08 12:55:46,2017-09-08 13:05:18,2017-09-15 21:55:41,2017-10-02
PBvPGqQxwFDV,cWwtMYBNlwy1,delivered,2018-08-08 18:52:43,2018-08-08 19:05:10,2018-08-20 13:43:44,2018-09-20
OQHE8Ve7n811,bEh2OYyGVzcI,delivered,2017-08-30 10:56:22,2017-08-30 11:10:15,2017-09-08 17:33:00,2017-09-21
Pp9bMvTIgPDs,CiOHqzRk5bbt,delivered,2018-02-15 09:19:26,2018-02-16 09:35:27,2018-03-12 17:19:32,2018-03-12
jJgDALmwe6f6,lFEdYUjKo6tu,delivered,2017-05-05 08:44:58,2017-05-06 02:15:58,2017-05-15 11:38:04,2017-05-30
qJHIiWyTAizV,5XGKxFrzDdYP,delivered,2017-04-27 00:12:04,2017-04-27 01:15:14,2017-05-09 09:55:03,2017-05-26
vSug5AqRo9gE,oWBBqGwqpx4m,shipped,2017-05-07 10:22:58,2017-05-09 09:35:20,,2017-06-12
cuAQQZUhTEwb,EeCs1w6JNdPU,delivered,2017-04-06 11:53:43,2017-04-06 13:05:26,2017-05-02 11:47:48,2017-05-10
yYk586LcCRYw,hgHQgpZ9rVHu,delivered,2018-03-11 14:54:08,2018-03-11 15:27:59,2018-03-23 19:23:02,2018-04-02
2HQ26ShSPhCA,uvuFFZDOAlU7,canceled,2017-07-29 12:56:17,2017-07-29 13:05:18,,2017-08-18
h8KEpd8n4gLL,LkYwWbX35V3p,delivered,2017-11-27 11:05:38,2017-11-27 11:15:03,2018-01-22 13:56:53,2017-12-19
JQnDQBQZYwWs,7qqTmdyVGDMP,delivered,2018-03-15 22:03:50,2018-03-15 22:15:51,2018-03-20 21:58:43,2018-03-28
IKSlI8m4cXvg,63cb18M1Z31w,delivered,2018-08-07 16:45:43,2018-08-07 17:05:05,2018-08-10 19:58:43,2018-08-27
ubzoVELLkeoU,cIIcBGeYxzLl,delivered,2017-11-24 21:08:14,2017-11-25 00:16:29,2017-12-22 21:40:03,2017-12-21
FfjA9YfQ045p,asn6Y9BiG6Ma,delivered,2017-01-05 14:18:03,2017-01-07 03:44:16,2017-01-17 16:47:45,2017-02-13
gMRkjz3CrUnd,ufG7Q9l2g5Dn,delivered,2017-09-19 19:46:11,2017-09-19 20:04:05,2017-09-29 20:49:52,2017-10-05
1sBsJeYdxAI1,uJZ6s76zSxtN,delivered,2017-07-18 17:17:37,2017-07-18 17:25:16,2017-07-26 15:52:12,2017-08-09
KZdbnccspG6C,tvBnqB57rQrh,delivered,2017-08-12 22:00:15,2017-08-12 22:15:13,2017-08-17 20:47:36,2017-09-05
aK8BUDSAUnAJ,EmOTT0NimdgC,delivered,2017-08-25 23:51:38,2017-08-26 00:05:55,2017-09-04 19:09:41,2017-09-19
hdpKYesvGZeq,3QWW2QATQoks,delivered,2018-08-10 15:08:54,2018-08-11 02:50:24,2018-08-31 23:58:27,2018-08-16
Weun8cqlOfrB,JG5L1Y6huM3k,delivered,2017-07-22 07:12:13,2017-07-25 03:35:25,2017-08-03 18:17:48,2017-08-15
XQuhwBeGcadT,iWDrWao0rL2O,delivered,2018-04-03 16:00:49,2018-04-05 02:10:26,2018-04-11 18:28:33,2018-04-25
8LfYKHvDTqIN,frNd2yIHhY1X,delivered,2017-10-23 20:31:45,2017-10-23 20:49:13,2017-11-07 01:09:03,2017-11-24
0gxtU32XLhDR,tc4f86hhYwpB,delivered,2018-05-08 21:04:24,2018-05-08 21:15:28,2018-05-21 20:48:51,2018-05-29
NqkFWmoEkOni,u1gplSGJr1m5,delivered,2018-08-16 10:02:10,2018-08-16 10:15:17,2018-08-24 19:22:01,2018-09-11
Xz9xN4y9ehaz,DRJMerHUON15,delivered,2017-06-15 22:49:09,2017-06-17 03:42:30,2017-07-03 11:33:41,2017-07-19
Y8qzXFVs2NdT,N9TistbY5amC,delivered,2018-04-09 13:11:55,2018-04-09 13:29:45,2018-04-11 18:46:31,2018-04-25
dZuZBawSN57o,nyVwdmiDhhG6,delivered,2018-08-19 16:28:17,2018-08-20 12:30:07,2018-08-29 01:05:28,2018-09-04
rUQbmLj5M2QE,VBhPvelXEBtq,delivered,2017-05-17 04:26:46,2017-05-18 04:35:12,2017-06-02 08:32:45,2017-07-03
TTBF9yOgN5EH,UXwfLujVOTVL,delivered,2017-04-02 15:08:45,2017-04-02 15:15:17,2017-04-11 12:15:57,2017-04-28
FyxzH1mhMBKM,YeOwwF3fdWgu,delivered,2018-08-01 22:58:06,2018-08-01 23:10:09,2018-08-09 14:34:58,2018-08-14
91fTReRt3k2s,HTmirdxNO6w3,delivered,2018-04-19 08:19:39,2018-04-19 08:30:25,2018-05-03 23:21:49,2018-05-16
EztPEldn1Aha,vqxOoMq59uav,delivered,2018-01-14 10:14:35,2018-01-14 10:29:48,2018-01-31 15:04:08,2018-02-09
3VPXNauA1hA6,E1orXI8bLrNV,delivered,2017-11-24 23:37:52,2017-11-25 01:37:20,2017-12-03 15:10:38,2017-12-14
RNy2CkQv9QO4,elCsLJhTBJtl,delivered,2018-03-03 12:10:51,2018-03-03 12:29:16,2018-03-23 03:07:43,2018-03-26
lFLPAbeUgKTV,xbIMznITKpTA,delivered,2017-03-24 21:17:29,2017-03-24 21:25:08,2017-04-03 14:57:39,2017-04-25
P6bxg4N8Cw1J,BKYTz5VyeBBd,delivered,2017-03-03 14:21:58,2017-03-03 14:35:09,2017-03-17 12:52:17,2017-03-28
YykeWYFjVZYE,abN6KF4qdL4n,delivered,2017-11-07 15:01:20,2017-11-07 15:16:13,2017-11-13 16:39:05,2017-11-28
dHuy4so1fO7s,Azn5ULeYYh8s,delivered,2018-04-15 20:36:20,2018-04-15 20:52:14,2018-04-20 15:51:53,2018-05-10
MnaiNSJ6870y,SaNj4MhzahVL,delivered,2017-12-14 00:29:03,2017-12-14 00:36:23,2017-12-30 13:11:05,2018-01-17
39TPZFziHhP2,4JEusie8wqjJ,delivered,2018-08-12 22:48:32,2018-08-13 22:45:11,2018-08-20 18:07:04,2018-08-29
afDRwL1WXpA1,NvTNauiH1qDG,delivered,2017-05-11 15:10:52,2017-05-11 15:22:01,2017-05-22 18:13:38,2017-06-12
r7702612Pdfh,2gkH6jQ35V6r,delivered,2017-10-18 13:34:48,2017-10-20 02:49:40,2017-10-25 16:36:09,2017-11-06
15IH5WU11wIZ,orIYzq1FFngF,delivered,2017-05-31 11:38:50,2017-06-01 11:45:18,2017-06-22 15:07:44,2017-07-06
GHfebQ8QpH8l,5j1oYFmufbg3,delivered,2017-12-07 08:40:18,2017-12-07 08:52:30,2017-12-19 19:14:36,2018-01-11
B8V4EaW2eSh0,GUzQDRVGumYn,delivered,2017-11-21 18:37:11,2017-11-21 18:47:28,2017-11-24 19:21:10,2017-12-01
FwheKtHhpBN2,qPcKrtMv39Ny,delivered,2018-04-08 14:03:56,2018-04-08 14:15:11,2018-04-10 20:34:41,2018-04-19
TGt9bWN79Nqz,qkLJoaytabZ0,delivered,2018-07-25 21:24:26,2018-07-25 21:35:15,2018-08-09 01:28:22,2018-08-17
yr2H21aRoD3h,G9BomGyiASFC,delivered,2017-11-14 03:22:33,2017-11-14 03:35:21,2017-11-21 13:21:57,2017-12-04
HG9ftAgQxhF4,C2neZlovyKdO,delivered,2017-11-24 16:45:54,2017-11-24 21:32:30,2017-12-20 20:47:12,2017-12-26
5WmmehR17vqk,jLJ0UsbRochy,delivered,2017-08-10 16:07:21,2017-08-10 16:25:17,2017-08-19 14:17:43,2017-08-30
SSIHiYAn9TpY,J8tIqKe7Lwty,delivered,2017-08-06 15:06:19,2017-08-06 15:43:06,2017-08-21 19:15:18,2017-09-05
FEIP98BAAYWW,jOwLUQxf2vs7,delivered,2017-08-20 20:11:55,2017-08-20 20:30:13,2017-08-24 21:17:46,2017-09-04
qZUh5hge1625,5ScAfYqpztVr,delivered,2017-10-14 21:34:35,2017-10-14 22:03:58,2017-10-24 14:03:20,2017-11-07
G07cmuGKW2nd,a6lBUx2AmE65,delivered,2018-05-08 09:03:18,2018-05-08 09:15:32,2018-05-14 14:55:19,2018-06-14
ZJ852hQOuseH,JOACXMuORdtc,delivered,2018-04-11 20:41:25,2018-04-11 20:55:24,2018-04-24 11:32:10,2018-05-24
MsJrJ9vfOmvF,dxaR7zuMZLgv,delivered,2018-07-31 13:52:24,2018-08-01 03:31:42,2018-08-07 22:32:47,2018-08-20
ItgUvaUVS9ws,baOQZP8fmfKu,delivered,2017-04-22 21:17:54,2017-04-22 21:30:06,2017-05-09 23:32:26,2017-05-29
1oVrUY75oStu,BUGMPRmV0G7u,delivered,2018-04-04 14:19:07,2018-04-04 15:30:20,2018-04-23 21:29:29,2018-05-02
YuEmUNymzcGv,qGZel9QhDI8k,delivered,2017-09-07 10:36:54,2017-09-07 10:50:07,2017-09-20 17:36:17,2017-09-29
jkbVqP4aWneg,AXZAKk41nNaN,delivered,2018-08-03 19:33:35,2018-08-03 20:04:14,2018-08-07 11:32:11,2018-08-08
dxOwaxOE1nT0,OfMjFMFtGloy,delivered,2018-06-20 10:39:52,2018-06-20 11:08:25,2018-06-28 10:28:31,2018-07-20
b2u1yVa2LdNK,1HB2U2sb6O4I,delivered,2018-05-21 09:15:31,2018-05-21 09:36:59,2018-06-24 17:28:45,2018-06-08
QHnQzNJRBS8w,OKSc9zMvBf3H,delivered,2017-12-13 10:59:10,2017-12-13 11:11:34,2017-12-22 15:09:54,2018-01-08
ZHsymoudGwgy,YpVY4KIM3kpF,delivered,2018-01-09 16:43:47,2018-01-09 16:53:49,2018-02-09 17:29:45,2018-02-15
7PK4NRV2nhjw,I4ORWasAtn2t,delivered,2017-07-05 22:57:34,2017-07-06 17:05:18,2017-07-08 14:41:04,2017-07-18
FhbdaS77ToDk,jV8iADqbmykv,delivered,2017-08-28 23:31:59,2017-08-28 23:45:13,2017-09-08 21:11:21,2017-09-18
KWuqSsip5IPL,w4gVmc7ZPB7J,delivered,2018-05-29 00:08:35,2018-05-30 02:15:21,2018-06-12 16:38:47,2018-07-12
t4Bk5mYUoL8U,vHB4wi1rw7yJ,delivered,2017-02-24 17:07:05,2017-02-24 17:22:10,2017-03-13 14:45:15,2017-03-24
XVYh21794I2q,IcpG2VytJuOz,delivered,2018-01-03 10:11:19,2018-01-03 10:18:34,2018-01-05 22:34:24,2018-01-29
V5N9aEmfprUb,cf8KM8v09yFJ,delivered,2018-02-17 22:30:05,2018-02-17 22:46:57,2018-02-22 18:29:10,2018-03-12
uleJoXLnjRWP,0ShwdFYw9sTD,delivered,2018-07-03 13:11:13,2018-07-05 16:32:52,2018-07-10 17:47:39,2018-07-23
su9qtpmYRRZ4,o2XHJSQDVUjH,delivered,2017-09-27 09:52:55,2017-09-28 03:07:18,2017-10-09 21:43:32,2017-10-19
NwV6qaWsqsqx,FIE7qnYGWctO,delivered,2018-07-18 13:30:45,2018-07-19 15:30:27,2018-07-31 18:58:33,2018-08-03
Yg64phKM9oJa,tZilI8V0g1e0,delivered,2017-08-14 13:42:08,2017-08-14 13:55:19,2017-08-18 13:28:54,2017-09-01
4T5ho4MRp4mJ,kSoHzbViRklm,delivered,2018-01-13 14:28:16,2018-01-13 14:39:29,2018-01-26 11:25:12,2018-02-05
I4h2Vl1Vy4vZ,PqmwLFfBnOBx,delivered,2018-04-08 15:07:51,2018-04-08 15:29:37,2018-04-13 18:10:42,2018-04-30
DtKD3sdpBpwJ,KUQIrn86ttIe,delivered,2018-05-02 10:15:02,2018-05-02 10:34:27,2018-05-04 18:32:21,2018-05-15
6VKTocEU4N5n,k2pIrgPtCGma,delivered,2017-09-08 13:16:15,2017-09-09 06:34:35,2017-09-25 14:04:18,2017-10-16
CjC2wYcYXNMR,uiQXR8amJUZ5,delivered,2018-06-10 19:09:32,2018-06-10 19:37:55,2018-06-21 18:38:35,2018-07-03
gxecAzqugRRh,f5osd5e09qiH,delivered,2017-04-04 15:33:10,2017-04-04 15:45:17,2017-04-17 09:11:46,2017-04-25
uzwPcONTw6nT,Clcqfbd0dHQy,delivered,2017-10-29 07:43:05,2017-10-29 07:50:08,2017-11-13 19:07:03,2017-11-27
3wKSoQagZseT,UJAKUaIGlRn3,delivered,2018-06-29 11:02:18,2018-06-29 11:15:13,2018-07-03 19:25:44,2018-07-23
M7QS4SdwfiNR,V2yQapEqeiQ6,delivered,2017-11-24 16:16:45,2017-11-24 20:13:16,2017-12-07 17:47:15,2017-12-20
zBGSaqk6atNi,fAmGDfYoJrNI,delivered,2018-06-07 22:32:24,2018-06-07 22:55:51,2018-06-18 14:31:22,2018-07-17
zMDPbvlnXGPI,Eyr64dIilcgM,delivered,2018-06-26 19:44:42,2018-06-26 19:55:09,2018-07-03 15:56:50,2018-07-26
SkDe2m1n0yog,Nsa1cccryn3Q,delivered,2018-04-10 10:03:12,2018-04-10 10:15:13,2018-04-30 18:54:43,2018-05-10
yFIPmG5Qso5x,GtjbUb6VvhUd,delivered,2018-08-02 21:24:24,2018-08-02 21:35:18,2018-08-21 00:28:39,2018-08-16
mQr7ud7RxjFh,pV5CMhjRA4BD,delivered,2017-03-01 14:50:29,2017-03-02 06:45:14,2017-03-14 14:03:13,2017-03-22
4EczELWhsgzG,cNow1DF5YxjX,delivered,2018-04-14 14:13:39,2018-04-17 05:50:13,2018-05-05 13:32:43,2018-05-10
fYRfJWDPpozD,pJbXZRS0sqqS,delivered,2017-11-27 17:46:48,2017-11-27 18:00:34,2017-12-12 13:07:22,2017-12-11
dRXwZhgcISmk,M0P5DHWYoZPr,delivered,2018-02-08 20:01:54,2018-02-09 20:07:57,2018-03-05 21:58:30,2018-04-05
g3HasEpzawM0,WJ0q80kQ7mZH,delivered,2018-01-25 00:00:06,2018-01-26 03:15:54,2018-02-01 16:53:26,2018-02-22
8EmYv2JrQoVM,82FOTwe8xDKO,delivered,2017-11-04 09:29:36,2017-11-04 09:46:24,2017-11-21 21:47:04,2017-12-05
ECV62MnnmTLX,liwpNZL3DOZJ,delivered,2018-02-13 23:13:50,2018-02-15 04:11:23,2018-03-14 18:41:43,2018-03-07
4NRNwKsOveDT,oyP6xO7xWbXU,delivered,2018-06-03 11:03:37,2018-06-03 11:15:16,2018-06-13 22:38:38,2018-07-25
WLTmxfRLxDdY,7mxhG9PYa0St,delivered,2017-11-06 11:49:07,2017-11-06 12:31:57,2017-11-13 20:26:39,2017-11-27
aMOKAbOn7YS7,xydnwS2B3vnq,delivered,2017-10-13 14:45:03,2017-10-17 04:24:35,2017-10-25 20:22:10,2018-01-11
ucFzWwW4Vl7H,k4jj7bTV7KmF,delivered,2017-06-02 09:18:44,2017-06-03 02:30:23,2017-06-19 13:36:32,2017-07-05
iz8xwkPzbsgV,QlaBWwflyrZE,delivered,2017-10-12 18:14:57,2017-10-12 18:28:17,2017-10-25 20:44:26,2017-11-01
Kc54kqG0Wpw8,Jzld306kU0gs,delivered,2017-03-21 11:03:03,2017-03-21 11:03:03,2017-03-28 12:47:50,2017-04-07
7Y0OW6ELHx3i,D4td8E6o42m6,delivered,2017-06-05 12:41:50,2017-06-06 13:23:20,2017-06-19 12:46:06,2017-07-07
DUCbyz8Y4PXF,BQrXeVYPxqjC,delivered,2018-08-01 06:05:07,2018-08-01 06:15:08,2018-08-13 21:36:30,2018-08-29
vPxoToV6CRId,Gv4L7KQQIHYo,delivered,2018-04-23 22:15:29,2018-04-24 19:26:40,2018-05-08 21:42:38,2018-05-18
Es4nrInds5z1,bjeelhNkZcyv,delivered,2018-03-22 23:02:39,2018-03-23 22:55:38,2018-04-11 19:22:42,2018-04-10
UmAkM11j0kiw,cQuboCzfXNZr,delivered,2018-02-19 20:52:08,2018-02-19 21:26:43,2018-03-07 02:08:28,2018-03-13
kRiuUpaRSRej,wzKCnrsGrhPT,delivered,2017-12-01 22:25:12,2017-12-01 22:34:51,2017-12-20 17:17:05,2018-01-02
lFU2gz4lUKB7,Ne3XkcBUVu8b,delivered,2018-04-05 23:18:21,2018-04-05 23:30:47,2018-04-17 00:11:12,2018-05-15
r3hALQT93EsB,4GshpMTgfphC,delivered,2018-07-21 18:20:23,2018-07-21 18:30:16,2018-08-05 17:06:22,2018-08-14
VGnTuPH9ikhV,Qq0Ot1OJIGWr,delivered,2018-03-03 15:04:01,2018-03-03 15:15:24,2018-03-14 15:43:00,2018-03-21
AJotPdRaKwyY,pl1k9l5U9S8e,delivered,2018-06-07 13:58:13,2018-06-07 14:20:33,2018-06-13 20:08:45,2018-07-03
0wKwjdY1z51U,92M1ZSNwBu4x,delivered,2017-06-26 17:09:45,2017-06-26 17:23:28,2017-06-28 12:13:57,2017-07-10
iU5dRkT0UbRu,DdZ29jlHHmyY,delivered,2017-05-29 22:07:26,2017-05-29 22:22:32,2017-06-06 16:17:03,2017-06-28
URhgir8jvpA7,JQKGVe0QMCMH,delivered,2018-08-04 20:42:36,2018-08-04 20:55:24,2018-08-09 18:16:39,2018-08-16
LB95k1HA7Zcz,Ms31JGlld0AB,delivered,2017-02-28 18:47:03,2017-02-28 19:19:56,2017-03-15 12:51:42,2017-03-22
8G2Uai1drYy5,q2FJe6vCRDrC,delivered,2018-02-19 12:10:03,2018-02-19 12:27:16,2018-03-14 12:17:04,2018-04-05
63ky5p0OERua,JpUSpyQNnUFU,delivered,2018-08-01 12:07:12,2018-08-01 13:04:17,2018-08-07 22:21:51,2018-08-24
701sy0G7mOQ4,x4edkJFvuVsU,delivered,2017-11-24 22:46:40,2017-11-25 01:52:45,2017-12-04 18:05:36,2017-12-20
lLBlCuLkfwDu,8H9DOt7c6rdA,delivered,2018-01-08 11:48:46,2018-01-08 11:59:32,2018-01-18 20:08:45,2018-02-05
1MkWBKhNk2G2,yZHCoK29gkLY,delivered,2018-06-03 22:26:08,2018-06-03 22:35:21,2018-06-08 20:54:18,2018-06-28
UkX9eB4Ysi2J,fa3w4QbR495z,delivered,2018-03-21 20:18:05,2018-03-21 20:30:45,2018-04-03 18:48:55,2018-04-11
HuQIRVYlkITN,3p6GlBbXYyIE,delivered,2018-02-01 22:14:15,2018-02-03 02:52:37,2018-02-09 02:42:37,2018-02-23
ZcNIUEIyKw56,WVv4miDDo0eX,delivered,2018-01-22 14:29:31,2018-01-22 14:38:22,2018-01-31 23:22:47,2018-02-16
GS7TlrcV9EiI,3V9lD01x1gJn,delivered,2018-06-04 22:46:18,2018-06-04 23:10:42,2018-06-13 20:08:29,2018-07-16
FylcoNawsxyy,9sOKJY1Egnyx,delivered,2017-09-12 13:29:37,2017-09-12 13:50:21,2017-09-20 17:14:11,2017-10-02
OLLjAyjGntvG,KRONM1dA2lfQ,delivered,2018-07-06 18:17:25,2018-07-07 05:00:07,2018-07-11 14:15:24,2018-07-19
vXElUhy375Ae,CeEUh3SwQawM,delivered,2017-12-23 05:12:58,2017-12-23 05:29:42,2018-01-12 01:36:12,2018-01-17
xmcXAV3y0bzJ,jqeaDO2nRwyL,delivered,2017-03-10 17:33:50,2017-03-10 17:33:50,2017-03-24 11:12:26,2017-04-05
Ku21hqzA50fH,DpynHQ1oNPfb,delivered,2018-07-20 21:19:51,2018-07-20 21:30:45,2018-08-16 21:59:01,2018-08-31
9D8fitQjsM9C,bh2cF3JmJ2t9,delivered,2018-08-03 08:40:58,2018-08-03 08:55:20,2018-08-13 20:48:30,2018-08-27
xMn70jAErNfN,pxR8dmNDPHII,delivered,2017-01-23 13:31:26,2017-01-23 13:45:18,2017-01-30 15:12:57,2017-02-28
DsABekzFQyU4,1CTHWhRh08q8,delivered,2017-05-30 13:46:19,2017-05-30 13:55:31,2017-06-19 16:22:58,2017-07-04
v6e0KeIp6TR0,OQzGE68TCNmT,delivered,2018-07-27 05:30:50,2018-07-27 05:45:09,2018-08-08 16:08:33,2018-08-15
xyZOTBOGYS1h,1oRENXkJlZ0G,delivered,2017-02-14 23:38:33,2017-02-14 23:50:14,2017-03-02 09:51:54,2017-03-17
QsnXzn81euhJ,dZXNFWBztPxm,delivered,2017-05-22 08:50:07,2017-05-22 09:02:26,2017-06-02 14:56:09,2017-06-22
exOQg7m3Sv9n,N3XOyO3yG21M,delivered,2018-02-13 02:42:20,2018-02-13 02:55:20,2018-02-26 19:38:54,2018-03-08
6umanlRafhLf,oiZmh73uiGwS,delivered,2017-12-05 11:27:44,2017-12-05 11:34:25,2017-12-14 16:38:01,2018-01-03
BCY4SRQsss8K,xtxu1WMCyvol,delivered,2018-05-08 22:31:03,2018-05-08 22:54:28,2018-05-15 16:58:29,2018-05-23
p3rNQye3irvJ,RJBqpyAkOebP,delivered,2017-11-25 18:26:39,2017-11-25 18:36:53,2017-12-05 18:38:43,2017-12-19
9HXMZnutBe9j,UaLWJGLgQC3f,delivered,2017-11-02 14:26:59,2017-11-02 14:46:16,2017-11-07 19:36:47,2017-11-23
f0NtxnekM0Md,1fJkF55M3PPZ,delivered,2017-11-16 16:20:02,2017-11-16 16:35:33,2017-11-23 22:58:27,2017-11-29
fjJY9zCsuFDi,CFrkanFG5hxx,delivered,2017-08-27 18:28:26,2017-08-27 18:35:19,2017-09-01 18:03:56,2017-09-18
cDMJrGrrOoYt,wBra6P86wElz,delivered,2018-08-09 00:06:28,2018-08-09 00:15:30,2018-08-15 18:21:24,2018-08-23
019iNT2eSEYM,bCMOZAGYGOWt,delivered,2017-12-30 11:37:12,2017-12-30 11:48:23,2018-01-18 12:18:08,2018-02-02
7J51qVGXlaSG,VcipCglKV2o4,delivered,2017-11-27 14:39:18,2017-11-27 15:03:04,2017-12-21 21:33:50,2017-12-20
yHgXRJyvsYXX,OZwDTHk8UM6T,delivered,2018-03-08 22:19:42,2018-03-09 00:54:48,2018-03-26 15:06:35,2018-03-29
no1GZs08Zd41,wY6AtOwM7wGD,delivered,2018-08-11 16:02:08,2018-08-11 16:40:05,2018-08-24 17:18:52,2018-09-10
QMdfpILdzGOX,Xut3FvRmZXLN,delivered,2018-06-07 22:32:24,2018-06-07 22:55:51,2018-06-18 14:31:22,2018-07-17
Cx0IO6wIeU62,O1hfvrqNcNCL,delivered,2017-09-11 14:20:12,2017-09-11 14:35:09,2017-09-21 18:07:50,2017-10-02
G0fNhWSqsZb7,NfUJUoFeIoIR,delivered,2018-07-13 12:01:24,2018-07-13 12:10:20,2018-07-23 21:59:33,2018-08-01
IHXVkQvfAsMA,AjA643YSt4QM,delivered,2017-11-17 22:12:54,2017-11-17 22:26:14,2017-11-23 23:09:34,2017-11-30
E3BBgIXmGWal,3D0cJDQIYfnY,delivered,2017-06-07 12:05:10,2017-06-09 16:15:08,2017-06-22 16:04:46,2017-06-28
C5GkkTqFN4Hr,tqQeBCozqW9g,delivered,2018-03-15 15:56:23,2018-03-15 16:11:07,2018-03-28 19:14:46,2018-04-05
vPV8OMoC51eh,9qJlHyw6biJC,shipped,2018-05-24 13:19:53,2018-05-25 18:58:30,,2018-06-26
k7u4RM3C6ESy,9HC2BqZ8O7Gy,delivered,2018-07-24 10:04:11,2018-07-24 11:24:33,2018-08-02 19:51:46,2018-08-28
4XWA1rachUdJ,VQ0Pkm1zSRFF,delivered,2017-05-03 21:12:58,2017-05-05 02:23:40,2017-05-16 15:44:51,2017-05-26
5mcR9y7YNybJ,A045cjRRI0Kv,delivered,2018-05-07 20:27:12,2018-05-07 20:51:25,2018-05-11 23:47:00,2018-05-17
2cpMWJDLf8YU,pQ3sUmtk40Zy,delivered,2018-05-15 16:10:38,2018-05-15 16:35:56,2018-05-17 14:51:28,2018-06-01
wLmSeX7aRYYJ,45W1h821N0nl,delivered,2017-11-26 20:13:08,2017-11-28 20:15:42,2017-12-04 12:18:11,2017-12-22
o35Byv2l3Rnw,lsZGJmS41mCu,delivered,2017-11-29 20:47:39,2017-11-29 21:17:12,2017-12-11 16:16:58,2017-12-21
CAI1SLL46Z3S,1W6oeCzdIONu,delivered,2017-07-25 15:38:32,2017-07-26 02:15:59,2017-08-04 19:26:57,2017-08-16
qDs2n4z4qyXF,P8TetD0XWQus,delivered,2018-04-14 16:48:42,2018-04-14 17:10:35,2018-04-18 19:03:10,2018-05-03
JtVWrzxaXSvF,eYPiYmHZQccA,delivered,2018-02-26 21:10:57,2018-02-26 21:28:45,2018-03-13 22:57:39,2018-03-20
LZdw0vc9dWg4,7KjdZT0PG0Ks,delivered,2017-12-10 16:02:45,2017-12-12 15:58:42,2017-12-18 17:35:54,2018-01-09
0rRPuLQbEGKO,a84zfPtNB996,delivered,2017-11-24 14:40:32,2017-11-24 16:37:30,2017-12-12 22:32:51,2017-12-11
C8CLWr03d0Zs,YmiS5Nxba7K8,delivered,2018-02-14 20:48:53,2018-02-14 21:07:27,2018-02-27 13:35:41,2018-03-06
msfBKI1i1qIy,mbaTkec0ICIO,delivered,2018-04-27 21:26:39,2018-04-27 21:52:34,2018-05-09 10:28:34,2018-05-28
