order_id,product_id,seller_id,price,shipping_charges
G07cmuGKW2nd,hGtmCHbSVQ4G,78sV6I5nExj0,128.99,59.45
ZJ852hQOuseH,CsjdvHqLmAxc,JcRdnPnWEDp7,144.94,6.15
MsJrJ9vfOmvF,mVm1INynZf3d,nKBsxjDoWKEM,89.91,6.87
ItgUvaUVS9ws,CpeCg2UGCL6P,AvTLykupHOIB,2600.0,2.46
1oVrUY75oStu,H9bNMpRahUKq,tNJnfkCxzhmN,215.5,20.26
YuEmUNymzcGv,GkKwbXbTsUcZ,j6ZQXHPSPppN,509.99,17.44
jkbVqP4aWneg,y2j8hYmi4AVK,9fFFM6RBxCkT,404.88,27.45
dxOwaxOE1nT0,n7Cpn4dSlDZn,6SEfGu8XEXxz,171.9,39.95
b2u1yVa2LdNK,Rtm1uWckrdIP,I1tzIpbuBorJ,239.8,86.61
QHnQzNJRBS8w,BFpdkwndpvo8,RKad98cTxhSb,849.5,14.72
ZHsymoudGwgy,Rr4bjc79Exdc,ZdLx9hwnjpgD,75.5,26.88
7PK4NRV2nhjw,ii8N1s7yzFym,lTpUZrtW5FYQ,148.5,15.64
FhbdaS77ToDk,p9owG1LeMQyo,8nCo4Zb12mDs,48.65,40.27
KWuqSsip5IPL,Biwi1BNtUB7l,r7VxefoTVHbb,509.99,6.15
t4Bk5mYUoL8U,9SSBohAQrOts,eVS6MuExSoto,72.4,26.14
XVYh21794I2q,h0c562VfTzH1,9fFFM6RBxCkT,45.83,33.9
V5N9aEmfprUb,cyCC0fkLmcqw,QwTHQ3NRUJGs,257.42,14.25
uleJoXLnjRWP,YNIpoyuyWPht,SCwRXazloJwH,339.0,33.03
su9qtpmYRRZ4,Al1GHLV4kkHl,r9PPtLpzZVdj,35.35,5.22
NwV6qaWsqsqx,TAlgqaCYmIfH,NFUo7mzHc8co,36.2,16.39
Yg64phKM9oJa,kqxklO6gqERR,RKad98cTxhSb,213.0,42.05
4T5ho4MRp4mJ,MUrEW9uOnc0R,Hvqvzx84Y4bC,2799.65,14.54
I4h2Vl1Vy4vZ,cjZ4OtQAYbu8,VyDYXaRCd51S,87.99,25.87
DtKD3sdpBpwJ,6zUARqcDy3iI,fBHtndjqwueV,318.33,33.9
6VKTocEU4N5n,cajdwKq3aeGD,UCE3Mf4XAd26,79.05,31.53
CjC2wYcYXNMR,X9sl5gbsIDb6,RKad98cTxhSb,100.0,67.07
gxecAzqugRRh,8Jj1iuFC4uzV,Dq9vmUTxeFxh,399.2,87.83
uzwPcONTw6nT,veULCrfJEcMn,fUYjegBdHGtn,887.0,41.73
3wKSoQagZseT,YK9vqq5pdJfX,JuuJEhRiu7Rk,150.9,62.81
M7QS4SdwfiNR,AbOCavZAHlDU,INwQcGqoPZrs,105.0,193.78
zBGSaqk6atNi,ipYJ5d8d5OHW,16pMg4KJ3hIj,290.47,45.82
zMDPbvlnXGPI,sqPeHmTzzTXv,Ko3LWNo5BK3H,820.05,23.71
SkDe2m1n0yog,GwAtwuLm3m5l,AvTLykupHOIB,115.52,8.0
yFIPmG5Qso5x,71NSrL41eqam,I1tzIpbuBorJ,389.89,33.03
mQr7ud7RxjFh,UCaDMBHd1vuf,v7C619QzbXVy,109.6,110.14
4EczELWhsgzG,9NwzO0Pm0fDM,r7VxefoTVHbb,4099.99,64.09
fYRfJWDPpozD,mUzVm5ukrxKM,HQ4j3Fr6B61e,120.38,42.85
dRXwZhgcISmk,1XrebgSC6x8K,cdFuckm1t0Np,217.32,49.57
g3HasEpzawM0,p7NpuOoJ7D0U,Q2NwKBfUdtHW,0.85,8.43
8EmYv2JrQoVM,9NwzO0Pm0fDM,r7VxefoTVHbb,692.0,46.76
ECV62MnnmTLX,9NwzO0Pm0fDM,r7VxefoTVHbb,509.99,17.44
4NRNwKsOveDT,ad8n5dIJySPi,16pMg4KJ3hIj,346.99,18.08
WLTmxfRLxDdY,DuOTQpA1e2b4,4YvZWfI3A03T,93.9,42.85
aMOKAbOn7YS7,rSIbOvXw0Cpk,dSEHH0pKrdMJ,849.5,35.19
ucFzWwW4Vl7H,ilsWDSWmR8dX,0HbVEHMspxA1,109.82,29.05
iz8xwkPzbsgV,xl7fxh09W8xU,HQ4j3Fr6B61e,310.99,5.01
Kc54kqG0Wpw8,ZWc6ka4ieCQO,ESs66EAdIPaF,692.0,9.81
7Y0OW6ELHx3i,RVYXL9B514r5,9fFFM6RBxCkT,387.0,51.45
DUCbyz8Y4PXF,hLYCVUs0gvdF,AvTLykupHOIB,124.89,53.12
vPxoToV6CRId,TVqNHUbZ8q20,kiirS0of7bJI,176.99,37.16
Es4nrInds5z1,woP5cZBmcBcI,yWBcmXHhf5dK,29.87,9.23
UmAkM11j0kiw,Tu1BFgu9GnLO,ip9eVh4ecstS,459.0,31.07
kRiuUpaRSRej,WVIqmO1Zpio7,ROU21YoHXFiH,69.86,92.24
lFU2gz4lUKB7,vZUdZ9QVR7iX,tNJnfkCxzhmN,548.35,6.87
r3hALQT93EsB,GA7VKY55Ve1s,9IoQ4CUO45Pc,1514.0,132.62
VGnTuPH9ikhV,0vbEvli2JYJu,RKad98cTxhSb,493.9,86.73
AJotPdRaKwyY,IAwyJkryRk4R,tNJnfkCxzhmN,89.21,50.28
0wKwjdY1z51U,PkSSEEVEqflZ,Wk0JznmZOo6h,116.11,32.34
iU5dRkT0UbRu,E2GmxGWbzEND,UCE3Mf4XAd26,708.0,38.61
URhgir8jvpA7,cKboTGrWp54z,OfafuCsnlLjb,509.99,56.8
LB95k1HA7Zcz,AzF5SLbUbKWt,V3iKL8r9W9NR,34.72,110.14
8G2Uai1drYy5,HVb0WK2Cg43g,iheur3GszbRN,1359.9,42.02
63ky5p0OERua,66FfkbqT7EaT,QVo9EUjjuncJ,33.41,48.84
701sy0G7mOQ4,nRCGSNEb4RUm,0HbVEHMspxA1,137.88,12.63
lLBlCuLkfwDu,o0wzlENKuuPY,OfafuCsnlLjb,509.99,38.66
1MkWBKhNk2G2,n0I7r2n61EVM,nKBsxjDoWKEM,94.68,34.33
UkX9eB4Ysi2J,mUzVm5ukrxKM,HQ4j3Fr6B61e,120.38,3.0
HuQIRVYlkITN,9p1qIJDPo06E,lnvB1XSo3zwf,34.96,20.9
ZcNIUEIyKw56,X9sl5gbsIDb6,RKad98cTxhSb,493.9,12.91
GS7TlrcV9EiI,fcdGCqtOAdKv,vdQsCEgrH1Nk,127.77,13.18
FylcoNawsxyy,6wkAkiVNcu3J,j6ZQXHPSPppN,128.99,86.98
OLLjAyjGntvG,drQODUvqXLjk,EhGbqP9YcXAn,3.5,41.29
vXElUhy375Ae,nly1WtjMl4ys,g6AdzghqF6DD,676.97,75.81
xmcXAV3y0bzJ,POPbNW5r1Jpy,EsvBil6864Oa,124.89,6.44
Ku21hqzA50fH,AtmJCgT56oDj,qc8HaReZKfQJ,564.99,29.79
9D8fitQjsM9C,DoFhfOL2EWsA,r7VxefoTVHbb,849.5,47.14
xMn70jAErNfN,uAoOMo22UMav,IWOf3FsBgQtM,145.69,55.54
DsABekzFQyU4,Pb7eGiBIFKMI,RKad98cTxhSb,267.99,40.49
v6e0KeIp6TR0,Rtm1uWckrdIP,I1tzIpbuBorJ,239.8,76.73
xyZOTBOGYS1h,897kVCNGEJYm,ux1d7N0zioFv,319.29,67.12
QsnXzn81euhJ,anvtFHva439b,T7OJcZtdnwO5,150.82,65.05
exOQg7m3Sv9n,XC70BhUAAkLt,1b6QwEUEjB7M,31.9,8.78
6umanlRafhLf,JbHjUrduq7BQ,cFovkr5GFkYK,134.57,17.38
BCY4SRQsss8K,8Tlb7Xc9LP3L,I1tzIpbuBorJ,118.89,37.07
p3rNQye3irvJ,ro08JPncYzLh,r7VxefoTVHbb,2899.0,24.97
9HXMZnutBe9j,MQ2y03vEkluo,B6xdvm9ZtKUi,328.0,20.9
f0NtxnekM0Md,lctzzYPrOOYX,HQ4j3Fr6B61e,60.09,44.4
fjJY9zCsuFDi,m0Lw8m6joRAS,AvTLykupHOIB,127.77,30.66
cDMJrGrrOoYt,Fbfxc3sxlDky,83mxmvg5Z1d6,17.89,12.28
019iNT2eSEYM,mqrnNPLgsDKO,4SRv5bbOf4fh,95.03,56.65
7J51qVGXlaSG,3DndxczZrPAj,AlwaQrfO6sZF,81.18,44.75
yHgXRJyvsYXX,rhyKJR9O3w6n,Q2NwKBfUdtHW,135.0,69.82
no1GZs08Zd41,7grztYpCkySJ,K0qPVGdA91KO,161.0,17.37
QMdfpILdzGOX,sAZlZF7GJJdr,16pMg4KJ3hIj,820.0,26.08
Cx0IO6wIeU62,ZNl6BY792DHN,2cg7E5j1pzxq,252.99,37.12
G0fNhWSqsZb7,y94CJpPCKwhA,hnGt5LdR3vV3,459.0,50.91
IHXVkQvfAsMA,63XTdPWHKZSw,9fFFM6RBxCkT,136.89,64.41
E3BBgIXmGWal,rLkyneOy1Tq7,16pMg4KJ3hIj,111.27,67.11
C5GkkTqFN4Hr,K21GjvOC8E0K,tNJnfkCxzhmN,475.0,6.15
vPV8OMoC51eh,VO111AOA1QIP,ElULPWS11hxk,28.7,6.87
k7u4RM3C6ESy,OXan3Rsv1N9F,hDN0gJiFmrgG,43.97,23.37
4XWA1rachUdJ,98SxWR4W5vhx,ESs66EAdIPaF,692.0,26.14
5mcR9y7YNybJ,7ZUitWOLtfMg,K0qPVGdA91KO,137.88,11.39
2cpMWJDLf8YU,mdZ6rnuU6CvV,uVKVCckRTJIo,509.99,0.34
wLmSeX7aRYYJ,zzKpDIgxntcg,lZIni34yuGeQ,51.92,82.84
o35Byv2l3Rnw,TaP4m47lzJC9,j6ZQXHPSPppN,26.99,38.66
CAI1SLL46Z3S,0vbEvli2JYJu,RKad98cTxhSb,95.03,14.25
qDs2n4z4qyXF,pB2qzEXgYNCU,Y6oJtGnt1biO,201.37,38.63
JtVWrzxaXSvF,baO5UlHQAGVC,16pMg4KJ3hIj,346.99,10.63
LZdw0vc9dWg4,LP9yzvAzxDXy,hmS6KkvxMbyF,399.2,27.67
0rRPuLQbEGKO,k1G4RHt3R7Nk,K0qPVGdA91KO,1001.0,6.08
C8CLWr03d0Zs,0GII09WWgwUY,Cyl6PGvB25KG,132.9,30.66
msfBKI1i1qIy,koPVtkzV3WbC,0tBoRWzPdf1v,181.56,142.33
AstXHRBYewOu,C8CAvt1H4uq0,I1tzIpbuBorJ,329.99,71.02
Uhj5QQRSGI2V,xl7fxh09W8xU,HQ4j3Fr6B61e,310.99,29.34
R3nR7MAIFJp8,0UHKKyYmxWfq,K0qPVGdA91KO,779.0,1.64
0LHWQwuXbRXM,T2xpbQd9IyDy,VyDYXaRCd51S,106.6,48.01
jOjAlaMd4Bxa,edvL52sahEJo,n1qBLUpDVOLU,252.99,50.83
U825liYb4bEP,k1G4RHt3R7Nk,K0qPVGdA91KO,1589.0,38.66
bsmzn44t3VC8,fkOxcRqgS5y0,3Alp7oIhUtGc,259.99,21.8
ckXdHlUPbzjN,IyjLE3dlI1ce,hLzo2H5Hi4Td,140.7,12.83
UqJUVQfXvMIC,yRAkBYToAWpL,tNJnfkCxzhmN,89.21,30.66
DmHPGG2KKJIt,gPcgQy5PcZcR,skSdK1oNLelu,395.6,24.76
M3YhJss5VxJA,cANAJmznL9Lg,kJEFisr2CqPX,2221.0,29.54
gt6vQRWQPSQr,gmO9Lmc3rapV,GfxP5sqbRDOE,114.46,5.41
sfxlElxBrIH3,fwf07l1OVf2x,RKad98cTxhSb,95.03,60.35
oTo9v1g6qCDt,3LpxCHqsJe5S,pfZXbw40rEBR,70.23,31.0
KDzHSkuInYO3,thVu8wtNKd5H,g6AdzghqF6DD,31.99,25.87
T9GwXy4K63al,oN4U7mAXXYDg,iyQAZYHN096Z,73.87,41.48
mB7BTGVlOrJ7,bCk4GH4hlq3x,lAnSOSAjk3Uz,109.82,13.59
L9SdJmy8vizU,4iGV7YIuk45I,axOhCopVpSxE,30.48,28.02
8MVjxBFCkjl8,ztoAHjqCQTx3,HPuxRyj1uNUP,78.97,82.61
BfEerzMxBUsM,M9Rq7Nx8etjk,X6sOuk28jDFW,692.0,33.9
z2xZKG2is3Xq,VPeKM1EB7I8L,XEurPdGwwrtN,17.5,321.88
rfUXOUKCptwI,ro08JPncYzLh,r7VxefoTVHbb,692.0,2.31
R6up2KYJbADG,hfeqnTkgsdQt,p2CXmXZgANxg,589.0,38.63
qf88tnNyUpRx,vh6qRnd3jAis,PajbyLRnTzGg,125.46,42.38
KPJNHedkLc39,FekPWhKuOkmM,dihwpSHrqtI2,87.99,20.9
RuC6cSsNwGSD,cDoq9u33HEPc,lXgFIHCZtrfT,648.0,47.55
Gl8G0YaaKbCH,OQd2aNjMA5u2,IWOf3FsBgQtM,113.49,36.04
wjBw461L0dNm,XUyg95fttt1h,ghsV9MAOkMh7,222.98,31.89
PneId89pjlVF,q7bnB4d9UQje,OQQb6MFu21gH,2139.99,143.67
KcbjEZhinCC7,pEOKGWW2dBY3,pAOttUyt5jAq,97.44,47.55
4XD3XsJnUFnM,21d75APed1Cs,qQu7MxPlBpA3,128.99,102.69
FSFm6KXHD7tM,h0c562VfTzH1,9fFFM6RBxCkT,367.0,17.38
XFauDZBeZeg0,hltNoJPbTHBZ,16pMg4KJ3hIj,35.95,38.66
3kQCq4lbaOK9,dfg0jojjzwY6,0P23RFuImtdl,137.88,41.41
ePg7LyHwKeoQ,vHV8rk4PORBK,T7OJcZtdnwO5,56.89,9.54
XyAVofPUCM13,B7CVgrM35B2B,RuTOBChetY7Y,139.34,11.46
ItcROAatm9qV,DDzcxw2orD5A,4SRv5bbOf4fh,125.46,47.92
1SVobHiDbyFI,KFuPwSsJH9FK,K0qPVGdA91KO,252.99,44.49
A9u8teMLfnqy,THCxakg42bF1,eVS6MuExSoto,2130.0,88.09
fLr3kTLQXnYs,BtrLJJC9i918,05nIYpVrMwiz,849.5,30.56
DdDQ4Z1ZAKjs,VaaCM9tzYE0J,MdWxBEep7ZnV,181.82,16.36
8SQ9FwzB6DxZ,PKW0Jg5sxOWH,BnvXJ0H2aMk7,28.82,43.83
9HPip5W0tprn,POYxCFHKMvxl,3Alp7oIhUtGc,210.99,13.34
myHhbcDMUjbh,7hIibbPWVlMU,78sV6I5nExj0,509.99,12.24
aFnXzRv4Wn2M,mc8GIa0mreZN,0tBoRWzPdf1v,128.99,10.33
IRNEiBQEewT3,s8JIMbUdrQg1,ToGx1gWc17Gc,34.0,26.11
ZMIMxYQjyNbO,36r9ecsJdG43,RKad98cTxhSb,619.99,21.69
lsHhBn5cxGQe,bag9BdIjb8Rj,GXGGgdIiVtUt,254.97,5.19
yweE4tuiUKaE,brKswOkWPtqO,K0qPVGdA91KO,1589.0,77.47
J6Ad7eJtZJBK,0vbEvli2JYJu,RKad98cTxhSb,95.03,14.68
tOfbzStkzwCP,5OlvQAjjxnbM,deIZivgltbC0,22.3,83.6
H8ZDEOpg7Faf,GcA63YUWZKF0,OfafuCsnlLjb,509.99,67.11
eYC146tRJ3eS,y1HgENGrWEMV,xbr8ZnHWrWgb,19.3,14.86
7uyJMH917bwZ,v5nCR4cuovu9,tNJnfkCxzhmN,111.27,27.26
qKs9bwrzCJCx,muYklhpQnbjz,YerjZTY7wKZq,1349.0,31.12
GP5cstPcLLQj,YnCK8Kqham5R,gPffp4FvbNru,290.0,132.38
SM4Cj1CZZLkj,m8HhYxS2C3aN,dPgh591KNQAz,58.6,22.0
K9wZS26hYDi6,ZXIEsYQd2pCQ,ErNdnCxofJMU,215.94,61.32
XCcz3HxevFiN,yxbOV7Ndo5fT,xVaf9S84mIN1,692.0,25.26
efyq0yLeQE1m,QVlD26X1y7NI,V3iKL8r9W9NR,127.77,95.89
BDLXyxkpxOeN,jrvLtMrD3Khn,tdfnXplX8iPA,190.06,7.63
enWiHbOnJDKY,eJ0WKujR01gm,Cyl6PGvB25KG,56.89,9.84
RQ6qEjoCbLlB,mfmhMF6dhdl6,BnvXJ0H2aMk7,193.25,59.34
QlfYA7XhGQM4,0EFQn9gY6gaY,77p2EYxcM9MD,264.5,23.07
6F0kHSR4ku4P,YaALB7oxDID9,mtGQqVEpW6z5,849.5,146.3
5ZCKrrJbv8iY,kuUbPNBMgk7o,tYbtiPwsAhmw,108.34,32.88
jvsUaBWVyOha,BCER9EDwpGjr,gsjT3buFXEKe,33.02,19.93
qGZePwmIBBtN,HuJZxg0ZSCIL,16pMg4KJ3hIj,72.4,64.55
GiYSLpL1SNrl,MzyBYFOiAQl4,kJEFisr2CqPX,43.21,51.09
seFGrql71OoU,CLNGHSRBFxql,1tQXSFyHrsGq,78.09,40.27
8c1YjufKGTpK,OR8L9LaOqJlk,TD2AMTmc5Ixg,312.84,47.55
JUou1ZKvsYh7,VcU0FP9DjfBt,AvTLykupHOIB,156.3,12.06
VWs6b2EAZOl9,c7PDreUWjpjc,mkWN70fui2ro,274.49,70.06
zYcXmHD6G5cr,RQlh8sswQpO2,YerjZTY7wKZq,189.75,20.41
NOwU6BgabXFN,DxVHhA66zdLu,9glrjePowgzM,128.99,43.1
kND6TmRqIdtQ,rxR2GdD3XxuJ,cdhcscON47ip,54.3,17.44
iNO8xgpQ9pHz,SLTlrWtcYt1m,r7VxefoTVHbb,692.0,46.76
glIYCfUUh4jz,nfcshHx8ZZOj,cUodQhgpRajF,95.03,26.47
RBmioQlQiObc,uhR7YKVFm3CF,K0qPVGdA91KO,161.0,4.41
c6nhfOrJ8Q9F,SWqcqGVZ1YKW,ux1d7N0zioFv,13.97,60.74
nVQxiZ9zqTa3,v0F9iKtjn5LF,n1qBLUpDVOLU,404.88,62.88
zL56ddA8hcGw,r6yBdRWfu7YQ,A64LphPIw0tx,33.41,4.65
7t4WD0z9zvIj,t2cv5m3Sgv96,K0qPVGdA91KO,1001.0,6.08
s0KF0z51RsYJ,9NwzO0Pm0fDM,r7VxefoTVHbb,509.99,17.44
XUsQni48M6yw,CpeCg2UGCL6P,AvTLykupHOIB,2600.0,70.34
fn0sJ9nMMMCo,3FfDxNYBiaEE,RKad98cTxhSb,142.2,55.54
ela06vNwaSmx,qiU6uljqd8aK,tNJnfkCxzhmN,117.56,78.84
rRFNAtVUFjGN,8OInt3C4fUKN,MdWxBEep7ZnV,99.25,38.66
cY7owOvz3HJc,Al4ieZoLaTd8,COsMF55fuZCX,45.99,2.74
VW5R1FZUVHg9,44VI3k46Tzq2,w44b3CnkAU44,54.4,23.71
4F8dq7L3dJym,XW4nFGtgTJll,PYNH4MOEQaXt,749.99,83.09
XHFGV2kJ7xHu,Tki8pCCAvc2G,PD3ungrnYPg2,139.0,55.54
O5wlWKcdTCXu,ahvLHagsHv9K,2a51UHcJkdrn,836.99,30.66
tsbCh2jP8G1M,sch073eFNuJS,ux1d7N0zioFv,124.17,35.07
9uw0suQjIm0o,hLYCVUs0gvdF,AvTLykupHOIB,111.27,38.66
stG9AWGbe0Ze,lNOoOWGA8OEr,VZmgxK6ws7Pt,48.99,50.28
0YHf7JIvGIbl,4MeoaWAZz6Qn,tNJnfkCxzhmN,48.99,47.55
jwsIu6ozMgP3,YCYlNUSOn0ia,kmvdMY7Og1bP,125.89,4.01
yEBMADySHfYx,pFCyQ97Z6eRe,9nUFe6rMkAaw,7.5,64.79
Em3pZHU6RJum,L4UqXdFUf7ar,ZsDn106jXrgr,123.78,26.13
wWYzPXSo1uCr,SLTlrWtcYt1m,r7VxefoTVHbb,692.0,46.76
c658A2x4tsQF,C7TUlvZYRbwN,sP2KGNGkyqFD,849.5,6.25
6nuLkDXGQwjy,FfiMQzl2g9IG,V3iKL8r9W9NR,35.79,6.87
3cdNhwVpnbg2,9qtQ7a9essA5,kiirS0of7bJI,111.27,6.87
Ovfb9sl5BzsQ,KFuPwSsJH9FK,K0qPVGdA91KO,252.99,44.49
6Yp2TDJSRcLn,9l67oGcKmvN5,ZsDn106jXrgr,89.21,126.47
pYsLaqhXY2mP,JwZamkHu7aMa,RqR0xDzYYMMJ,513.9,29.49
phwkJVrvBPEl,NkygN5yTKOgI,JcRdnPnWEDp7,599.8,12.63
8Go9DeZmKuVV,ZgkZH9pTdL5g,K0qPVGdA91KO,129.46,47.55
FOLToVwZODrF,qVaU9yebwKrf,dPgh591KNQAz,58.6,24.91
Gw3F6D5Blq9r,Ngh4xDRyeq2t,Ko3LWNo5BK3H,42.89,52.64
yg29I9GLYEyj,nRCGSNEb4RUm,0HbVEHMspxA1,109.82,12.63
dKgztiB6hmk0,erbuXxlzZHeO,8mVLKV0XOTsx,66.96,67.14
DTPLXf6eTxek,QrXLFhR7o9fN,16pMg4KJ3hIj,42.89,47.55
TDPQWEo7anXP,XB7eVmjBdR5f,c5SvhEe8chAa,783.14,43.58
RuKjdTwkRV4F,mUzVm5ukrxKM,HQ4j3Fr6B61e,120.38,42.85
NHB5gvAXrcSJ,GTdZktabOCtW,xqS6FkG5qqve,198.5,61.32
JaDYdIy6BFt0,VDEBigGAwD3J,RKad98cTxhSb,2689.0,127.22
D89jSMMCBMbp,sB3mH3n4QEcI,hmS6KkvxMbyF,109.6,37.81
IGaZdBgC6iVC,mUzVm5ukrxKM,HQ4j3Fr6B61e,120.38,42.85
MUj9ocKZaBtm,NMCACR8NxxDv,fPCae5a96bO4,2899.0,13.23
