order_id,product_id,seller_id,price,shipping_charges,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_timestamp,order_estimated_delivery_date,CustomerClusterID,CustomerPriority,ProductSeasonalClusterID,ProductSeasonalPriority,ProductSalesClusterID,ProductSalesPriority,DeliveryClusterID,DeliveryPriority,DeliveryDelay,product_category_name,customer_zip_code_prefix,customer_city,customer_state,payment_sequential,payment_type,payment_installments,payment_value,product_weight_g,product_length_cm,product_height_cm,product_width_cm,quantity
Xezz3yRZ3GWn,0TeOsTljJM6v,tjn9TXOjEGlU,820.0,7.52,BPMkOaKlzqWN,delivered,2018-05-04 13:39:26,2018-05-05 13:50:23,2018-05-09 13:14:40,2018-05-21,1,3,3,1,0,4,0,3,-11.125,toys,6142,embu-guacu,SP,1,credit_card,1,827.52,100.0,17.0,10.0,15.0,1
UePNWHd1BkbK,3yk93DQoQpk3,pmgltuNur5us,18.04,74.58,g0F0AS38BRe6,,2018-05-04 13:52:00,2018-05-08 04:54:07,,,1,3,3,1,0,4,0,3,-13.814814814814817,toys,95315,sao gabriel,RS,1,wallet,1,92.62,5000.0,40.0,10.0,40.0,1
mOseVv4ywe20,4vZDTJ5RD5fx,8cMMpAAFEsxE,144.97,60.07,acmv6jgkzkxK,delivered,2018-05-04 13:55:53,2018-05-04 14:12:44,2018-05-07 19:12:53,2018-05-21,1,3,0,4,0,4,0,3,-10.666666666666666,toys,78850,sao paulo,SP,1,credit_card,1,205.04,200.0,25.0,7.0,16.0,1
6r2XalKZoMJL,hsYU9OStjccx,Ivbw25fb5t2Z,2139.99,19.94,5L516E1nuHgm,,2018-05-04 13:59:10,2018-05-05 13:50:27,,,1,3,2,2,0,4,0,3,-15.5625,furniture_decor,36950,canoas,RS,1,credit_card,6,2159.93,1900.0,28.0,19.0,21.0,1
7ht5DoPfBRZP,sCONCvmO1cEY,0Mzbc3aACMOQ,159.9,68.17,QN5q58hADASh,delivered,2018-05-04 14:36:14,2018-05-04 14:53:28,2018-05-14 23:28:32,2018-05-24,0,4,1,3,2,2,0,3,-13.217021276595744,computers_accessories,84064,monte santo de minas,MG,1,credit_card,8,228.07,6550.0,20.0,20.0,20.0,1
jAMsM3j0cPE0,TVgwEASv4Ca7,vHQSebxkbbui,103.64,26.69,lhlbeXte1LHu,delivered,2018-05-04 14:46:10,2018-05-04 15:10:04,2018-05-14 16:43:44,2018-05-23,1,3,0,4,3,1,0,3,-9.0,toys,60180,sao paulo,SP,1,credit_card,7,130.33,25650.0,101.0,23.0,68.0,1
yENev4GHVLhO,8tjp9Zke4Ihe,OnC6iPAbNc8Z,389.89,24.97,Cv2N3Ttt9NTC,delivered,2018-05-04 14:49:20,2018-05-05 14:53:34,2018-05-10 14:54:32,2018-05-24,1,3,3,1,3,1,0,3,-9.833333333333334,toys,5085,campinas,SP,1,credit_card,8,414.86,318.0,19.0,23.0,18.0,1
15vRr1T0HgPn,LCYomi3ZR4m0,c5IEA7Rb9mm7,144.99,36.36,QTeTUW4W1bHq,delivered,2018-05-04 14:57:17,2018-05-04 15:10:28,2018-05-24 20:46:39,2018-05-23,1,3,3,1,0,4,0,3,-7.382352941176471,books_technical,11605,vila velha,ES,1,credit_card,1,181.35000000000002,950.0,29.0,3.0,21.0,1
vmKUZJFSDD17,GvBzGCvvIC2D,v4i9GZGfxgTZ,679.0,46.27,AWIfOjHFXkBs,delivered,2018-05-04 15:02:52,2018-05-05 02:35:15,2018-05-17 17:31:29,2018-05-29,1,3,2,2,2,2,0,3,-10.742857142857142,toys,3649,santa adelia,SP,1,wallet,1,725.27,1000.0,53.0,8.0,18.0,1
Yf8iy7IERiBw,GvBzGCvvIC2D,v4i9GZGfxgTZ,679.0,46.27,tBSbyeZ9cEmG,delivered,2018-05-04 15:02:52,2018-05-05 02:35:15,2018-05-17 17:31:29,2018-05-29,1,3,2,2,2,2,0,3,-10.742857142857142,toys,3649,santa adelia,SP,1,wallet,1,725.27,1000.0,53.0,8.0,18.0,1
yWeKXSdx3uwq,odgrVS8Yq2fd,OdnRCxXEzI4n,10.35,7.42,j2K2RPyCGJxC,,2018-05-04 15:11:36,2018-05-04 15:33:24,,,1,3,3,1,0,4,0,3,-16.0,toys,4531,curitiba,PR,1,credit_card,2,17.77,2950.0,20.0,20.0,20.0,1
aqAzfitForBV,dM0julmOn0pJ,Kr8NNcGKvIKp,966.9,46.13,7CNEKW5BwG7y,delivered,2018-05-04 15:12:44,2018-05-04 15:33:30,2018-05-17 15:28:51,2018-06-07,1,3,0,4,3,1,1,2,-21.0,stationery,31844,rio de janeiro,RJ,1,credit_card,1,1013.03,650.0,16.0,4.0,11.0,1
lzpQ0eKHenNc,hAuDjyAEzg8l,pvlDoYuoYHFt,109.89,41.04,PhYDeurla57T,delivered,2018-05-04 15:21:06,2018-05-04 15:35:12,2018-06-18 12:19:28,2018-06-06,1,3,0,4,3,1,2,1,12.0,toys,13715,carpina,PE,1,credit_card,2,150.93,500.0,17.0,19.0,14.0,1
z0xlLRweTSAb,OThQLjmQJ5Nf,UOGIrJtSldvd,178.0,63.47,h6z8q35YSgJV,delivered,2018-05-04 15:24:50,2018-05-08 04:55:06,2018-05-22 00:48:53,2018-06-12,1,3,3,1,0,4,0,3,-10.909090909090908,toys,86755,espigao do oeste,RO,1,wallet,1,241.47,2200.0,54.0,25.0,25.0,1
bRqHa6UA5YTk,RvbZONkCMkkV,2jTASjIU2rIf,222.0,31.94,u542Xgu8mBlh,,2018-05-04 15:27:52,2018-05-04 18:16:21,,,3,1,0,4,3,1,0,3,-14.0,watches_gifts,14600,goiania,GO,1,wallet,1,253.94,1650.0,42.0,10.0,42.0,1
vUWKdFvXYE40,J9CYJYLMC6LF,WbqnELZachwq,23.95,47.68,YEiTgkoBoYQl,,2018-05-04 15:30:39,2018-05-04 15:51:18,,,1,3,0,4,3,1,2,1,-1.5,toys,58286,macapa,AP,1,credit_card,4,71.63,1053.0,31.0,10.0,31.0,1
HyNhOW19JDhO,ev5SGnFOKVhR,rFT13UJuGo0Q,78.5,52.83,9hNmvWcgLMRT,delivered,2018-05-04 15:38:57,2018-05-04 15:55:22,2018-05-14 15:54:50,2018-06-04,1,3,0,4,0,4,0,3,-11.454545454545457,toys,81925,curitiba,PR,1,credit_card,8,131.32999999999998,157.0,17.0,8.0,13.0,1
QT1isZjvmNbK,ev5SGnFOKVhR,rFT13UJuGo0Q,78.5,52.83,tGvstXtDnbKp,,2018-05-04 15:38:57,2018-05-04 15:55:22,,,1,3,0,4,0,4,0,3,-11.454545454545457,toys,81925,curitiba,PR,1,credit_card,8,131.32999999999998,157.0,17.0,8.0,13.0,1
T2Xfncmi1RF0,ev5SGnFOKVhR,rFT13UJuGo0Q,78.5,52.83,AEaoUWutGqWM,delivered,2018-05-04 15:38:57,2018-05-04 15:55:22,2018-05-14 15:54:50,2018-06-04,1,3,0,4,0,4,0,3,-11.454545454545457,toys,81925,curitiba,PR,1,credit_card,8,131.32999999999998,157.0,17.0,8.0,13.0,1
jtsaCgDU5MXM,ev5SGnFOKVhR,rFT13UJuGo0Q,78.5,52.83,61SN50aCBsmT,delivered,2018-05-04 15:38:57,2018-05-04 15:55:22,2018-05-14 15:54:50,2018-06-04,1,3,0,4,0,4,0,3,-11.454545454545457,toys,81925,curitiba,PR,1,credit_card,8,131.32999999999998,157.0,17.0,8.0,13.0,1
W1zIViW03giA,ev5SGnFOKVhR,rFT13UJuGo0Q,78.5,52.83,fzcQUpeELQWu,delivered,2018-05-04 15:38:57,2018-05-04 15:55:22,2018-05-14 15:54:50,2018-06-04,1,3,0,4,0,4,0,3,-11.454545454545457,toys,81925,curitiba,PR,1,credit_card,8,131.32999999999998,157.0,17.0,8.0,13.0,1
NmUwZQ55MLp6,ev5SGnFOKVhR,rFT13UJuGo0Q,78.5,52.83,z9kRzeny3N5J,delivered,2018-05-04 15:38:57,2018-05-04 15:55:22,2018-05-14 15:54:50,2018-06-04,1,3,0,4,0,4,0,3,-11.454545454545457,toys,81925,curitiba,PR,1,credit_card,8,131.32999999999998,157.0,17.0,8.0,13.0,1
5tla3OeDYyZM,BHsyyQBT7bkU,m6IJZtqbZBZn,15.27,60.07,xRJa7ECcvCY7,delivered,2018-05-04 15:56:31,2018-05-04 16:13:35,2018-05-08 17:25:38,2018-05-18,1,3,0,4,3,1,0,3,-10.2,computers_accessories,88380,nova odessa,SP,1,credit_card,1,75.34,250.0,19.0,3.0,15.0,1
4IeClQpazmuL,Ffe8gTdmyO3U,4cJY064rRFhL,107.63,35.03,lERzwXArPr2W,delivered,2018-05-04 16:05:51,2018-05-04 16:30:12,2018-05-14 13:49:00,2018-05-25,1,3,1,3,2,2,0,3,-16.1256038647343,toys,84620,sao paulo,SP,1,credit_card,2,142.66,533.0,22.0,11.0,20.0,1
y7Y4oG9StKH4,icdtCDkjpSZQ,coi9xkdo66JI,26.77,28.61,ISNz4V7SZkNt,,2018-05-04 16:17:14,2018-05-05 16:13:44,,,1,3,3,1,1,3,0,3,-10.285714285714286,toys,79556,goiania,GO,1,credit_card,5,55.379999999999995,342.0,18.0,13.0,15.0,1
d3Y2m2DWLFMf,HuPTPK7EeAFq,tjn9TXOjEGlU,1054.0,88.96,B5IWKDDF6E9m,delivered,2018-05-04 16:18:48,2018-05-04 16:30:33,2018-05-10 14:12:50,2018-05-24,1,3,0,4,3,1,0,3,-14.0,toys,74481,marilia,SP,1,credit_card,1,1142.96,400.0,30.0,7.0,23.0,1
meAqKI27BrRX,1edaUIVffPFF,RsUgQvBvc24M,128.99,28.61,SnQvb5MvhhCq,delivered,2018-05-04 16:22:34,2018-05-04 16:35:29,2018-05-14 16:31:11,2018-05-30,3,1,2,2,2,2,0,3,-12.223107569721115,watches_gifts,95082,sao paulo,SP,1,credit_card,4,157.60000000000002,584.0,16.0,11.0,13.0,1
7AAdfyjktwsA,USrWNwdVuUhu,lfRV5qiPQJXi,116.55,48.99,vhtCuqcLKoAt,delivered,2018-05-04 16:29:05,2018-05-04 16:54:05,2018-05-18 17:42:07,2018-05-29,1,3,0,4,1,3,0,3,-9.563636363636364,electronics,4370,feira de santana,BA,1,credit_card,1,165.54,1250.0,26.0,10.0,18.0,1
Cxs4msGT4Jsw,vaG4OVrQHA6z,ouYt3q6fRtrq,187.5,40.2,4KU8QsKJkWRn,delivered,2018-05-04 16:32:19,2018-05-04 16:54:31,2018-05-09 13:16:53,2018-05-23,1,3,0,4,3,1,1,2,-20.0,toys,3366,niteroi,RJ,1,credit_card,10,227.7,15833.0,45.0,45.0,25.0,1
jCSPfXnfpQ3s,sRYP0xel4fIQ,qnplB5uiTm6l,37.84,34.33,GODh3ujmyP6B,,2018-05-04 16:45:37,2018-05-04 17:10:07,,,1,3,0,4,3,1,0,3,-10.666666666666666,toys,93216,sao paulo,SP,1,credit_card,2,72.17,350.0,16.0,16.0,16.0,1
kbmaMWBWHWNc,Kqgfn2UCqWA7,ohSnplkhmSF0,189.05,9.05,zGj6gck6Bza1,,2018-05-04 16:56:24,2018-05-04 17:10:24,,,3,1,0,4,0,4,0,3,-12.916666666666666,toys,35703,sao francisco,MG,1,voucher,1,198.10000000000002,10225.0,19.0,11.0,11.0,1
4lrucq7U7BJq,yJEaaj5H3JBT,KH9VVC2iPaCb,145.99,63.1,kGoKKkIXlFni,delivered,2018-05-04 17:00:27,2018-05-04 17:10:27,2018-05-14 13:54:22,2018-06-13,1,3,0,4,3,1,1,2,-19.0,toys,48370,rio de janeiro,RJ,1,credit_card,1,209.09,150.0,20.0,12.0,16.0,1
WkQ14PVQRUpf,e8ZqaQoymPcf,DhnYfWO3PJ5F,40.8,48.65,jMHrUwSCeNhZ,delivered,2018-05-04 17:00:41,2018-05-04 17:10:31,2018-05-15 17:14:34,2018-06-05,1,3,3,1,0,4,0,3,-16.61111111111111,toys,75526,nova iguacu,RJ,1,credit_card,8,89.44999999999999,5200.0,37.0,20.0,34.0,1
JIrIZQKwCiXb,o6Na5dqQ8W2g,coi9xkdo66JI,95.17,23.7,KDrMDhUXa2Nm,delivered,2018-05-04 17:01:31,2018-05-04 17:10:32,2018-05-11 00:08:45,2018-05-29,1,3,1,3,1,3,0,3,-17.058823529411764,watches_gifts,49750,sao jose dos campos,SP,1,credit_card,10,118.87,314.0,18.0,11.0,14.0,1
HUQzBsZECU43,WmSvr62zpOrt,cggBY4u0xwoI,56.89,28.82,hXyG9iMMtpI5,delivered,2018-05-04 17:03:07,2018-05-05 17:10:15,2018-05-21 21:58:54,2018-05-29,1,3,0,4,3,1,0,3,-10.8,toys,20060,jaboatao dos guararapes,PE,1,credit_card,4,85.71000000000001,5350.0,40.0,20.0,40.0,1
uUGVGClWcdJF,icdtCDkjpSZQ,coi9xkdo66JI,26.77,28.61,2U5j1f9FxMP2,delivered,2018-05-04 17:17:11,2018-05-04 17:33:49,2018-05-15 19:33:01,2018-05-30,1,3,3,1,1,3,0,3,-10.285714285714286,toys,26193,ilha solteira,SP,1,credit_card,8,55.379999999999995,342.0,18.0,13.0,15.0,1
3hWNysptIX4b,obg3pMkiRBOY,yDbf1jfEtqEV,599.5,39.91,lizYM8x4Adxu,,2018-05-04 17:40:16,2018-05-04 17:55:22,,,1,3,0,4,3,1,2,1,1.0,telephony,36700,sao paulo,SP,1,credit_card,7,639.41,600.0,23.0,18.0,20.0,1
YlwkZATbc15u,tcnZOsp1ppzr,qnplB5uiTm6l,37.84,5.88,ebzWiBvTN4jg,delivered,2018-05-04 17:44:48,2018-05-04 18:15:53,2018-05-15 20:36:43,2018-06-01,1,3,0,4,3,1,0,3,-10.6,small_appliances,36430,natal,RN,1,credit_card,2,43.720000000000006,750.0,30.0,30.0,30.0,1
wiZoQZ58L2la,LCYomi3ZR4m0,c5IEA7Rb9mm7,144.99,9.1,llz5Qa446cfX,delivered,2018-05-04 17:58:27,2018-05-04 18:16:12,2018-05-14 13:43:43,2018-05-22,3,1,3,1,0,4,0,3,-7.382352941176471,books_technical,77823,ribeirao preto,SP,1,credit_card,3,154.09,950.0,29.0,3.0,21.0,1
C0qPuBaVyOJt,XZDsnnVR2hCO,sHHmuXxVQj7Q,161.0,34.33,VNQ3hialyqyZ,delivered,2018-05-04 18:06:47,2018-05-04 18:16:20,2018-05-08 18:54:26,2018-05-25,1,3,0,4,3,1,0,3,-16.22222222222222,toys,7222,sao paulo,SP,1,credit_card,2,195.32999999999998,200.0,26.0,3.0,21.0,1
VONzSTAnK8C2,XXnUD1FQ7vVA,8cMMpAAFEsxE,67.0,34.33,fKFKPLVjHgp2,delivered,2018-05-04 18:09:14,2018-05-04 18:29:58,2018-05-08 18:12:52,2018-05-21,1,3,0,4,3,1,0,3,-13.11111111111111,toys,3084,piracicaba,SP,1,credit_card,1,101.33,150.0,25.0,7.0,16.0,1
oRAp5wiO7zax,XXnUD1FQ7vVA,8cMMpAAFEsxE,67.0,34.33,5YCBlrgOSMLQ,delivered,2018-05-04 18:09:14,2018-05-04 18:29:58,2018-05-08 18:12:52,2018-05-21,1,3,0,4,3,1,0,3,-13.11111111111111,toys,3084,piracicaba,SP,1,credit_card,1,101.33,150.0,25.0,7.0,16.0,1
jjNDig03ywgX,OvDf10edKwqI,z7LClRKBnKcO,2689.0,23.72,WVolNBeyY1hB,delivered,2018-05-04 18:10:27,2018-05-08 03:52:52,2018-05-14 20:41:28,2018-05-23,1,3,3,1,3,1,0,3,-11.0,toys,5404,cordeiro,RJ,1,wallet,1,2712.72,16050.0,60.0,40.0,40.0,1
0b7sPid13530,oOqKXzOPS6mW,vBsvOmIRoMaT,161.0,13.81,mpvwcxlUJ4tG,delivered,2018-05-04 18:25:42,2018-05-04 18:35:25,2018-05-16 22:28:45,2018-06-01,1,3,0,4,3,1,0,3,-12.666666666666666,toys,2051,ibirite,MG,1,credit_card,3,174.81,3520.0,25.0,25.0,23.0,1
qXqFeTOkyQei,ZWyg4uNWPHjJ,yGbPyLPc8PmT,2899.0,34.33,R7oPP2njyYPk,delivered,2018-05-04 18:35:55,2018-05-04 18:53:56,2018-05-08 16:47:01,2018-05-23,1,3,2,2,2,2,0,3,-9.844036697247706,toys,1405,sao paulo,SP,1,credit_card,1,2933.33,250.0,16.0,2.0,11.0,1
n3i6pAKoYkaF,ZWyg4uNWPHjJ,yGbPyLPc8PmT,2899.0,34.33,bIbBOzIx6Yzu,delivered,2018-05-04 18:35:55,2018-05-04 18:53:56,2018-05-08 16:47:01,2018-05-23,1,3,2,2,2,2,0,3,-9.844036697247706,toys,1405,sao paulo,SP,1,credit_card,1,2933.33,250.0,16.0,2.0,11.0,1
BwBBIWl4Ljgp,ZWyg4uNWPHjJ,yGbPyLPc8PmT,2899.0,34.33,mw6qKZzf43QA,delivered,2018-05-04 18:35:55,2018-05-04 18:53:56,2018-05-08 16:47:01,2018-05-23,1,3,2,2,2,2,0,3,-9.844036697247706,toys,1405,sao paulo,SP,2,voucher,1,2933.33,250.0,16.0,2.0,11.0,1
lvfvkvfi8lba,ZWyg4uNWPHjJ,yGbPyLPc8PmT,2899.0,34.33,i6zANBEkVU2Z,delivered,2018-05-04 18:35:55,2018-05-04 18:53:56,2018-05-08 16:47:01,2018-05-23,1,3,2,2,2,2,0,3,-9.844036697247706,toys,1405,sao paulo,SP,2,voucher,1,2933.33,250.0,16.0,2.0,11.0,1
VOCzVTuddGVV,SSh1ilNpikue,WbqnELZachwq,60.09,14.55,NRhvQ66W3pTQ,delivered,2018-05-04 18:45:04,2018-05-04 19:10:01,2018-05-08 17:32:51,2018-05-17,1,3,0,4,3,1,0,3,-9.0,toys,73088,sao paulo,SP,1,credit_card,1,74.64,800.0,31.0,10.0,26.0,1
stqszWMl1u6A,KNu6wFpqCyIK,UOGIrJtSldvd,137.88,53.29,eo2cWJkIWFfO,delivered,2018-05-04 18:54:52,2018-05-04 19:10:11,2018-05-11 21:52:06,2018-05-23,1,3,0,4,3,1,0,3,-9.333333333333334,toys,17025,ribeirao preto,SP,1,credit_card,1,191.17,1500.0,45.0,10.0,35.0,1
fPsGgnsacYhX,VIzCnu7ZJnPS,2EBnmKLQ6faA,26.77,44.7,dEro3gjwXRC8,,2018-05-04 18:57:34,2018-05-05 15:35:20,,,1,3,0,4,0,4,0,3,-14.461538461538462,toys,11664,rio de janeiro,RJ,1,credit_card,8,71.47,7750.0,34.0,33.0,33.0,1
afhcsJCUFBaC,flGeoxIUvF3r,j9Q3kZXZJ2kw,77.97,157.01,8DnpeA6XSZ3w,,2018-05-04 18:57:52,2018-05-05 03:15:11,,,1,3,0,4,3,1,0,3,-10.0,toys,15720,sao paulo,SP,1,wallet,1,234.98,350.0,21.0,2.0,14.0,1
hG9I0lXXMPnB,bav0HBCapqFU,j9Q3kZXZJ2kw,127.77,157.01,9vK5oecW5n5g,delivered,2018-05-04 18:57:52,2018-05-05 03:15:11,2018-05-08 16:28:54,2018-05-16,1,3,0,4,3,1,0,3,-12.0,toys,15720,sao paulo,SP,1,wallet,1,284.78,400.0,23.0,2.0,16.0,1
l7laL94iUWdD,NrkU2vHbtDeL,EZcvC15JiPPz,2899.0,34.33,QcfkiuAgwGcH,,2018-05-04 19:02:15,2018-05-04 19:15:24,,,1,3,3,1,3,1,1,2,-28.0,toys,18210,suzano,SP,1,credit_card,1,2933.33,150.0,22.0,8.0,17.0,1
yzENkqQOLrcg,32hQ4QukDHDu,UOGIrJtSldvd,139.98,12.84,q3VfAdupgxnh,,2018-05-04 19:07:29,2018-05-09 14:30:59,,,1,3,0,4,3,1,1,2,-21.0,toys,69909,sao paulo,SP,1,credit_card,8,152.82,1800.0,30.0,18.0,11.0,1
CwODwa0Y3dP0,EA6ZmPCrbZRQ,5FvGdji6skxT,820.0,6.87,LNlc30ZoML9G,delivered,2018-05-04 19:10:26,2018-05-04 19:34:12,2018-05-15 20:44:08,2018-06-01,1,3,1,3,1,3,0,3,-13.375,toys,25936,reboucas,PR,1,credit_card,1,826.87,250.0,17.0,7.0,13.0,1
cISzCFIQfQ0m,EA6ZmPCrbZRQ,5FvGdji6skxT,820.0,6.87,PGUD1VPBVQ58,delivered,2018-05-04 19:10:26,2018-05-04 19:34:12,2018-05-15 20:44:08,2018-06-01,1,3,1,3,1,3,0,3,-13.375,toys,25936,reboucas,PR,1,credit_card,1,826.87,250.0,17.0,7.0,13.0,1
LbmkVarzp79S,dAz11YkQkoue,TuPm19CMKvrM,59.21,34.33,GbbtezZidU3C,,2018-05-04 19:16:41,2018-05-04 19:34:23,,,3,1,3,1,2,2,0,3,-16.05829596412556,health_beauty,60050,francisco morato,SP,1,credit_card,1,93.53999999999999,100.0,20.0,15.0,15.0,1
pEJ2CGUv8FWs,aAsTdEYzIfvv,mFvZj7UmZKhl,324.99,10.85,gIf1QKIc1wa5,delivered,2018-05-04 19:17:47,2018-05-08 04:35:36,2018-05-18 17:32:24,2018-05-21,1,3,3,1,0,4,0,3,-8.956521739130435,toys,35065,planaltina,GO,1,wallet,1,335.84000000000003,200.0,22.0,11.0,16.0,1
Wlgb6NHSiX4J,1edaUIVffPFF,RsUgQvBvc24M,128.99,28.61,pVMfXLOQlFUa,delivered,2018-05-04 19:23:32,2018-05-04 19:35:19,2018-05-15 16:53:39,2018-05-29,3,1,2,2,2,2,0,3,-12.223107569721115,watches_gifts,4410,sao joao de meriti,RJ,1,credit_card,1,157.60000000000002,584.0,16.0,11.0,13.0,1
qL2swy4zjDwI,ROzKn9l4B2v5,FZXnHluy86KU,148.5,171.88,SY4pD5oln2Hi,delivered,2018-05-04 19:24:09,2018-05-04 19:35:15,2018-05-28 15:33:12,2018-06-07,1,3,0,4,3,1,0,3,-10.0,toys,65074,rio de janeiro,RJ,1,credit_card,1,320.38,350.0,60.0,20.0,11.0,1
uifTkbm6zg8x,dj0JydweuZ8c,5FvGdji6skxT,820.0,34.33,g75fHAtKED9j,,2018-05-04 19:50:51,2018-05-08 03:52:29,,,1,3,3,1,0,4,0,3,-14.733333333333333,toys,4709,sao paulo,SP,1,wallet,1,854.33,225.0,17.0,6.0,13.0,1
Ni88eGrVJxwP,8QUSVwVTHhBF,sz6I1FR4ws2U,2649.0,2.18,3NreurWToM0y,delivered,2018-05-04 19:54:04,2018-05-05 02:53:42,2018-07-06 17:16:53,2018-06-13,1,3,0,4,3,1,2,1,23.0,toys,14801,rio de janeiro,RJ,1,wallet,1,2651.18,650.0,36.0,14.0,44.0,1
qK0KoNr0x4Fg,1edaUIVffPFF,RsUgQvBvc24M,128.99,28.61,KBk6mynjqik2,delivered,2018-05-04 20:02:03,2018-05-04 20:15:21,2018-05-14 09:29:04,2018-06-01,1,3,2,2,2,2,0,3,-12.223107569721115,watches_gifts,9332,queimados,RJ,1,credit_card,2,157.60000000000002,584.0,16.0,11.0,13.0,1
a8LAJo8fKIGp,1edaUIVffPFF,RsUgQvBvc24M,128.99,28.61,U2SQ9zDK8mBa,,2018-05-04 20:02:03,2018-05-04 20:15:21,,,1,3,2,2,2,2,0,3,-12.223107569721115,watches_gifts,9332,queimados,RJ,1,credit_card,2,157.60000000000002,584.0,16.0,11.0,13.0,1
wzHNQ5aKb6UN,1TCFAwFAlNcn,A7s2wiNKJ3HW,129.46,7.52,pwUzvow5HSvA,delivered,2018-05-04 20:06:46,2018-05-04 20:15:20,2018-05-09 21:48:59,2018-05-16,1,3,0,4,3,1,0,3,-10.666666666666666,toys,73369,sao jose dos campos,SP,1,credit_card,1,136.98000000000002,100.0,18.0,8.0,13.0,1
7t8EcGzyEf0D,yXWXIx53k4Qw,R07q5v3K3Q3N,729.99,30.38,yrLgA4KNTGXT,delivered,2018-05-04 20:19:38,2018-05-04 20:30:24,2018-05-18 16:03:07,2018-05-25,1,3,0,4,3,1,0,3,-7.0,toys,7781,pelotas,RS,1,credit_card,1,760.37,5575.0,16.0,18.0,16.0,1
